inquiry_id,ind_det_credit_debts_balance,ind_det_debts_interestRate,ind_det_debts_currentBalancet,ind_det_debts_monthlyPayment,ind_det_debts_originalAmount,ind_det_expenses_monthlyAmount,ind_det_incomes_tyoe,ind_det_incomes_amount,tax_account_connected,has_no_incomes,has_no_expenses,has_no_debts,has_no_credit_debts,years_in_industry,years_as_management,ever_filed_bankruptcy,ongoing_lawsuits,credit_check_consent,citizenship_status
1e8fe0bc-f71c-4ac9-84e2-8845c7abd78a,"[251016, 169157, 101966]","[4.012388882647723, 5.134535989989919, 16.095589813809177, 5.321114408073138]","[3308189, 3656033, 101533, 2594067]","[15316, 10881, 1692, 19652]","[5000000, 5000000, 200000, 5000000]","[20256, 18242, 35708, 23615, 25086]","['investment', 'investment']","[2273666, 3160830]",0,0,0,0,0,5,5,0,0,1,citizen
7def4293-20de-4387-8446-516456e1b903,[170610],"[6.1769746094034055, 11.55910384462318, 14.583282056381774, 6.437962684796108]","[5773835, 789462, 199558, 182114]","[21871, 9398, 2772, 2168]","[11859450, 1000000, 200000, 200000]","[94959, 56120, 82543]","['bonus', 'investment']","[4080688, 9187632]",0,0,0,0,0,4,23,0,1,1,other
44ca477f-cf6b-4aa2-93f6-e49af47a8085,[306498],"[19.699804390668696, 4.001956401364112]","[2369644, 1206808]","[32912, 33522]","[3640390, 1375313]","[85867, 113516, 20014, 72562]",['freelance'],[11482917],0,0,0,0,0,16,23,1,1,1,citizen
12016298-0bc9-4d63-aa1f-911241b68ec5,"[496410, 690501]",[4.726202012047434],[1516038],[8422],[2432481],"[208608, 33893, 246556]","['salary', 'investment']","[20050366, 9556724]",0,0,0,0,0,26,30,0,1,1,citizen
9e705663-433f-4867-b99c-485106c8b539,[255201],[16.347713489441205],[1572550],[43682],[1906511],"[56730, 68128, 76018, 60786]",['freelance'],[9632215],0,0,0,0,0,20,10,0,0,1,other
98b103aa-a1e9-4511-9fd2-ebfa996b61b2,"[277252, 437514, 374842]","[5.443825928369284, 10.525625598786526, 5.024106851586916, 7.215567351085912, 6.751694852334772]","[14405954, 3911984, 6803010, 230242, 349181]","[42875, 81500, 37795, 6396, 2078]","[14590493, 4274700, 9348801, 466470, 5000000]","[11602, 27158, 80407, 14156, 78917, 70615]","['freelance', 'salary']","[4255885, 7010368]",0,0,0,0,0,28,8,1,0,1,citizen
90132c61-fc23-42ff-aeb1-0975630a777c,"[555209, 797236]",[11.509938066011824],[8712254],[181505],[9276215],"[47480, 152883, 87442]","['salary', 'salary']","[7580842, 19468107]",0,0,0,0,0,1,2,0,0,1,citizen
d43970bc-10a2-4a43-92d1-9cd3cfef9738,"[237224, 239757, 537246]","[5.3741900086715795, 3.4102301426587, 7.134600053785849, 6.4706598521841645, 11.505765928664573]","[518183, 3977163, 1124760, 1014941, 4063148]","[6169, 20714, 8521, 4699, 67719]","[1270958, 5975999, 3909998, 2379048, 5384612]","[53401, 67200, 67654, 58061, 67787, 71195]","['investment', 'bonus', 'bonus']","[3375544, 3920651, 2225254]",0,0,0,0,0,30,5,0,0,1,citizen
4a0b45d8-c150-4f9d-bda8-58a4617b08ee,"[624321, 545444]","[9.667753021893596, 5.569437048077043, 18.500471853282185, 13.961395416013485]","[5263259, 4060581, 3341057, 1138838]","[87721, 67676, 69605, 47452]","[9955337, 9594100, 3838061, 1972728]","[54583, 25312, 22419]","['salary', 'bonus']","[16364481, 4114598]",0,0,0,0,0,2,28,0,0,1,permanentResident
e83921a5-2613-4177-9f47-c16451fec808,"[242405, 207910, 263978, 139125]","[4.844562434486255, 7.406322987282719, 11.887725348015204, 7.957990632023442, 6.859676540208282]","[2013942, 216673, 818147, 2997230, 3954777]","[23976, 18056, 17045, 83256, 32956]","[2064856, 736224, 1534940, 3330669, 8445560]","[20820, 19832, 50120, 42624, 58223, 16383]",['investment'],[9592331],0,0,0,0,0,13,7,0,0,1,permanentResident
4a9ae545-a31c-4cc8-a08a-19d529700d27,"[101061, 104112, 107157, 103210]","[3.674734511453275, 3.6149359286617386, 4.823664532223078, 6.023488160104189, 6.622565049664772]","[4443085, 101771, 496850, 216572, 270864]","[30855, 446, 3764, 622, 3762]","[9829402, 5000000, 500000, 5000000, 1000000]","[21178, 25811, 28493]",['bonus'],[4449408],0,0,0,0,0,30,20,0,0,1,permanentResident
f7da6940-0dfb-4c29-8b0c-9cc56e1265e3,"[1019079, 673058, 814081, 402885]","[4.370424092928081, 11.91183318701267, 4.762150491995078, 14.914109485877967, 8.495386788092084]","[12403980, 495364, 3896944, 1497041, 129820]","[114852, 8256, 17092, 31188, 3606]","[15746581, 1987625, 6131597, 2973585, 521252]","[128444, 75504]","['salary', 'freelance', 'bonus']","[7777504, 8982996, 3281629]",0,0,0,0,0,25,12,0,0,1,other
02155bb7-f18f-4dd8-abd1-a1f448f0cd2d,"[118635, 604331, 589374, 452341]","[7.053853445301195, 8.732237346375962]","[6038074, 8081845]","[45743, 96212]","[15869270, 8113176]","[19692, 76194, 89068, 112659]","['investment', 'salary']","[5912739, 9415658]",0,0,0,0,0,27,5,1,1,1,citizen
d698d32e-ca0e-4e6a-83a3-532cdbb7dc55,"[483272, 732571, 745728]","[4.755673616790099, 16.985274768725937, 5.942073032040333, 8.277253999356823, 4.085504537414089]","[5871302, 883791, 3687656, 2521384, 7678216]","[163092, 73649, 51217, 70038, 42657]","[6602658, 2113276, 7843987, 8110633, 12849451]","[73006, 43531]","['investment', 'freelance']","[4479869, 7739017]",0,0,0,0,0,15,30,0,0,1,citizen
b8b21d1b-0a1a-43ad-b60f-2450581000ba,"[177354, 100108, 384975]",[4.9625585419395515],[2323315],[16134],[5366930],"[31106, 33140]","['investment', 'bonus']","[6746574, 3198061]",0,0,0,0,0,15,13,0,0,1,other
04acf4cc-d09c-47cf-94ab-66c89c1a5979,"[968793, 135948]","[5.163335624995504, 6.67504364079537, 10.178101881785413, 6.339089315436603, 9.256473543436432]","[60651372, 194267, 382749, 697873, 128758]","[168476, 736, 5316, 3635, 1533]","[71620041, 6127897, 2236070, 1553594, 382270]","[215028, 257251, 44729, 107780]","['freelance', 'investment', 'salary']","[6611066, 7320382, 19787817]",0,0,0,0,0,11,14,0,0,1,citizen
fae13bc5-e3af-4f9d-92b6-7259d117c8e6,[217091],"[5.193644783146233, 4.311467012744545, 4.027702651132971]","[321136, 4778426, 7624912]","[5352, 56886, 31770]","[1067529, 7922264, 15229855]","[28835, 57941, 16779]",['investment'],[9208905],0,0,0,0,0,16,21,0,0,1,other
0c37d937-9d9b-4931-925b-2faa7bb96bf9,"[398082, 861445, 776222]",[6.2125862760496755],[3021642],[12590],[8194419],"[105080, 16296]","['freelance', 'salary', 'investment']","[11586039, 7371228, 3819565]",0,0,0,0,0,27,23,0,0,1,citizen
c80b7de3-9cd6-4a92-a8d8-731998e8c803,"[170199, 570841, 568500]",[9.618212030639627],[2555459],[106477],[3656891],"[47851, 160332, 171083]","['freelance', 'salary', 'freelance']","[2797391, 22479278, 11455656]",0,0,0,0,0,13,23,0,0,1,citizen
e969985f-bcbe-4ae8-b2fd-84a15bdb9751,"[108932, 202800]","[5.145511187478943, 3.548066002128324, 5.847834598210278]","[1471277, 216954, 365045]","[12261, 670, 5070]","[3086479, 5000000, 500000]","[28279, 41735, 21450]",['investment'],[6520176],0,0,0,0,0,11,21,0,0,1,other
33fd4dda-c325-463d-ac82-23d4e79e55fb,[279162],"[7.403469748724854, 11.872428925989803, 5.078220223262087]","[2725603, 269101, 8745628]","[113567, 3738, 45550]","[3468024, 1329609, 11264269]","[37892, 12381, 12098, 53655, 50446, 33455]",['salary'],[7536237],0,0,0,0,0,21,14,0,0,1,permanentResident
b5ee96e0-0401-4815-b449-6dd9dced2d81,[267796],"[6.686492365188702, 12.900974297593208, 8.646606423958518, 4.80206657262118]","[617174, 683713, 783043, 310536]","[2857, 11395, 16313, 1991]","[1879489, 778454, 4279789, 500000]","[20779, 25288, 10319, 11471, 28794, 30638]",['bonus'],[4850242],0,0,0,0,0,4,4,0,1,1,citizen
7b0f1e54-905e-4330-83ec-5e8f5a48592a,"[295577, 249206, 186919, 401079]","[4.434960976102709, 4.026845329661967, 5.434100747198934, 5.052706395593865]","[1480910, 9589537, 6388197, 145818]","[30852, 36324, 59150, 2025]","[4248514, 13445391, 10726150, 1378180]","[80426, 92959, 101893]","['salary', 'bonus', 'investment']","[11013383, 2822092, 2029463]",0,0,0,0,0,30,24,0,0,1,other
39ea5b1b-9963-407e-8e16-9f0b35b1de79,"[844491, 1124627, 150441, 210330]","[11.7427578410608, 17.708643207871802, 6.870742167201817, 5.410647140708778, 6.453658208813877]","[3158415, 1948005, 7835783, 1683323, 6683170]","[43867, 27056, 29681, 28055, 39781]","[7152519, 4778524, 9157572, 2543104, 11298117]","[41346, 139544, 149477, 55526]","['investment', 'bonus', 'salary']","[5412545, 3348415, 15404570]",0,0,0,0,0,17,1,0,1,1,permanentResident
ec06f4d9-e254-4a05-8b36-626309bda3fe,"[704931, 787311]","[6.972237146686023, 9.132620358972215, 4.444494134591384, 7.260408446283523]","[6212421, 953405, 2352816, 3946989]","[86284, 13242, 15082, 36546]","[9057153, 1756786, 4238159, 4216044]","[84544, 72074]",['salary'],[15071652],0,0,0,0,0,19,30,0,0,1,citizen
26047016-561e-4374-8360-a66a53d1f828,"[155882, 392795, 204233]","[7.624430138428037, 6.849127086093717, 5.526323693660615]","[4098778, 13787460, 544146]","[17977, 114896, 9069]","[12753577, 15502013, 1000000]","[32258, 23776]",['investment'],[7671568],0,0,0,0,0,19,14,0,0,1,other
072c3d7c-9d9b-42db-95d3-bdf91a973d4f,"[2273689, 2917212, 171052]","[3.1779670520752266, 5.902136880603111, 3.806362651625162, 4.079657402394308, 5.009060114252587]","[21795555, 3698439, 960324, 164387, 233303]","[165118, 44029, 2964, 1522, 1767]","[31333731, 4866591, 5000000, 500000, 500000]","[71539, 468264, 102034, 316497]","['salary', 'salary', 'salary']","[20272144, 7239747, 22409983]",0,0,0,0,0,8,12,0,0,1,citizen
eb09977e-86ff-4dc9-b247-ab54b9d01a27,"[901345, 506391, 102713]",[4.7015287590328185],[27994725],[233289],[38858954],"[124389, 115892, 74762, 134802]",['salary'],[18156309],0,0,0,0,0,8,28,0,0,1,other
df0d3d2f-dd60-482f-b305-e0b632b7a334,"[432275, 288042, 274975]","[5.090531673387769, 5.376688333268091, 7.0789272555507115]","[2746804, 4278274, 404510]","[8478, 16206, 2107]","[10648081, 7212883, 826152]","[59609, 67290]","['bonus', 'freelance']","[3057705, 5696940]",0,0,0,0,0,22,30,0,0,1,other
0cbfa9b3-c5f8-4055-b195-07b11afdf8ee,[305249],"[4.697788346343405, 3.64739565581487, 6.510323784512458]","[11011870, 493404, 1807481]","[101962, 2164, 10042]","[19442785, 15401227, 3007031]","[15979, 71649, 107347]","['salary', 'bonus', 'bonus']","[14846301, 4493743, 2146449]",0,0,0,0,0,22,21,0,0,1,other
5c76779e-04a3-4dde-a549-43cddd78d3d6,[104706],"[4.88042350198652, 7.052855766643929, 4.208235520406525]","[147140, 106973, 487443]","[1752, 557, 4062]","[6464651, 2034973, 500000]","[22947, 27908, 42296, 11033]","['investment', 'investment']","[2530432, 3421990]",0,0,0,0,0,30,20,1,0,1,citizen
e8644895-1870-477c-b12e-32245bd8b7d6,"[362069, 343868, 305927, 710177]","[6.147512278900564, 4.31836310068307, 4.118744157518688]","[9523987, 204089, 1412731]","[66139, 4252, 16818]","[22911489, 1524284, 2712194]","[81538, 48108, 73611, 74128, 78521, 11714]","['bonus', 'bonus', 'salary']","[4097353, 1153389, 7020023]",0,0,0,0,0,22,23,0,1,1,citizen
ded8c7ae-42ab-49d8-8e47-435cce3aa0c1,"[169418, 173260, 211289]","[4.46432990258708, 8.93995177367122, 3.8740635521485816, 7.418689963300679]","[4689366, 4330113, 16190913, 2450004]","[21710, 72169, 112437, 22685]","[9002135, 6172584, 21552301, 2452403]","[161448, 131261]","['investment', 'salary']","[9157416, 14607669]",0,0,0,0,0,1,22,0,1,1,citizen
5e39f10a-04c9-455c-b584-1fd5b987bcfb,"[710931, 373465]","[11.133775138195244, 18.98138728471025]","[2039594, 237613]","[33993, 6600]","[3065024, 1054297]","[53130, 36068, 60204]","['freelance', 'investment', 'bonus']","[9256121, 4657607, 521424]",0,0,0,0,0,26,29,0,0,1,permanentResident
3d4e56e0-a09a-4d7e-ab03-fc128086e5e7,"[147215, 744788, 334116, 554306]","[11.639800548344326, 12.000854670106905, 5.861674284344023, 4.416204676439912, 10.638367110339027]","[350763, 436138, 6893031, 1234947, 432540]","[14615, 36345, 20515, 20582, 12015]","[357963, 2306397, 7851301, 5285857, 615522]","[64133, 99783, 212992, 54146, 222101]","['freelance', 'freelance', 'salary']","[8285033, 7007031, 8198517]",0,0,0,0,0,23,25,0,0,1,permanentResident
e5bf26b0-81f5-4f08-8174-dce4a1d388ae,[382149],"[7.118612756807083, 7.4553954521246375, 5.2731541999736455, 5.1835114579875015]","[2394124, 454262, 19553231, 3407851]","[12469, 3441, 116388, 21845]","[4210974, 3435234, 45467835, 18566090]","[27779, 123646, 174425, 96029, 104910]","['salary', 'freelance', 'investment']","[13521386, 7943360, 1542013]",0,0,0,0,0,25,7,1,0,1,other
194d08dc-4a5e-4421-871f-ab135370950a,"[440529, 168952]","[14.870293303671303, 9.767276809508981, 7.787647579171576]","[3122865, 951955, 169590]","[86746, 79330, 744]","[3994630, 2609894, 9494689]","[18854, 81678, 75979]","['investment', 'bonus', 'bonus']","[9607368, 969244, 506666]",0,0,0,0,0,3,3,0,1,1,citizen
72269462-50e6-4508-9c77-73ef934b30c4,[207529],"[5.0915534372346505, 7.7303621243330225, 7.025671488158696, 8.052672862158182, 6.7818411184371366]","[3940411, 8207163, 4123532, 1203542, 486371]","[46910, 52610, 28636, 16716, 20265]","[6707282, 8662053, 5719523, 1335523, 491491]","[27244, 49998]",['investment'],[9350838],0,0,0,0,0,17,9,1,0,1,citizen
6a532fdb-bdd6-47bb-a880-df2a568b9c5f,[183414],[5.43985129770757],[613914],[2842],[898971],"[15078, 16011, 11864, 18750, 20512]",['bonus'],[4794544],0,0,0,0,0,15,28,0,0,1,permanentResident
3d304dda-275b-4f0e-b7b7-8ac79257072e,"[481910, 356917, 422353]",[7.730225303542442],[13333015],[138886],[14974417],"[77526, 103857, 119358, 260582]","['salary', 'salary']","[10960017, 23334836]",0,0,0,0,0,15,14,0,0,1,permanentResident
3449624b-5827-4ef3-8eb2-b41e0c94ee30,"[179749, 140426, 197309, 149571]",[5.067278979722928],[181865],[2526],[753331],"[18612, 11140, 16842]","['bonus', 'bonus']","[1118033, 1946452]",0,0,0,0,0,23,18,0,0,1,permanentResident
a155e594-b8ee-4a6c-87aa-d14c4bb07bc9,"[313963, 280685]","[9.249745313547475, 4.135209896575951, 17.966199732120735]","[262558, 2268812, 178248]","[4376, 18907, 14854]","[265047, 5315003, 3491747]","[15819, 19742, 27469, 59733, 63481]",['investment'],[7200377],0,0,0,0,0,21,30,0,0,1,permanentResident
55f445de-23b7-4119-aefd-f1b96121a0b6,[467805],"[11.073663205997503, 7.011708352461552]","[695382, 3250870]","[9658, 54181]","[3706482, 13674098]","[51445, 32251, 52301, 79599, 15177, 20022]","['freelance', 'bonus', 'investment']","[5282908, 3342095, 2926967]",0,0,0,0,0,29,29,0,0,1,permanentResident
abbdbcef-14d3-4a0a-a54d-ce312e8e41b6,"[556634, 558635, 164641, 735639]",[4.556617395685999],[4452292],[41225],[6798896],"[48118, 59214, 54724, 47071, 41604, 57251]",['freelance'],[10442430],0,0,0,0,0,19,6,0,1,1,permanentResident
7603ca0c-fa1d-4dc0-a635-586ce505dfb0,"[293492, 636311]",[14.598200687825686],[943442],[13103],[2020752],"[63768, 216843, 211746, 142359]","['freelance', 'salary', 'freelance']","[11756020, 9833469, 9417135]",0,0,0,0,0,6,10,0,1,1,permanentResident
0cbfd584-d58a-4aa3-8402-79676e9c1ebc,[100000],"[11.832202809864292, 16.944107312535984, 7.41572899734367]","[872887, 106348, 400343]","[14548, 2216, 3033]","[4163124, 3085010, 1092242]","[10009, 11242, 12907]",['bonus'],[2229323],0,0,0,0,0,21,19,0,0,1,citizen
0c419101-35c1-4069-af87-42fb569653f6,[382957],"[5.517874644516643, 5.593891257513376, 5.143864585842223, 14.51834842623027, 11.306973567917254]","[23547549, 1430932, 546687, 133878, 792354]","[178391, 7950, 15186, 1594, 9433]","[27484567, 21010517, 1000000, 200000, 1000000]","[89861, 34452, 54107, 21245, 60418]","['freelance', 'salary', 'freelance']","[7604119, 5249281, 2267643]",0,0,0,0,0,14,27,1,0,1,permanentResident
a0d80c88-d19c-4b9a-956d-86fbcf44468e,"[100101, 100541, 102998, 103447]","[9.904337941140856, 6.134237652830917, 6.968198149157702, 5.658377193160671, 4.689409774318501]","[714778, 1019913, 954950, 1887103, 4863109]","[9927, 42496, 79579, 26210, 18421]","[1786446, 1123680, 2460507, 2186847, 5000000]","[21166, 20450, 49646, 19831]","['investment', 'bonus']","[3080851, 2806732]",0,0,0,0,0,26,8,1,1,1,citizen
cf0dffa2-6c77-45fe-be78-98215f52a088,"[119288, 194417]","[14.390784851894018, 5.625441737277234, 5.132725394960046, 7.0848437769956245, 10.812416061780127]","[230408, 5553524, 5704661, 7938168, 5755867]","[6400, 24358, 31693, 132303, 119914]","[2869765, 13860724, 5899572, 8698833, 8814303]","[14095, 148567, 23135, 19280, 116170]","['freelance', 'bonus', 'salary']","[6021350, 4353571, 7020710]",0,0,0,0,0,4,25,0,0,1,permanentResident
84ca71b5-1579-41ff-a4a9-2ff65905881a,"[693414, 702322, 528967, 196791]","[18.454229969026514, 4.460304572260865, 7.142256203363294]","[562257, 13590725, 448942]","[11714, 87120, 18706]","[894743, 17756968, 4344741]","[41117, 123441, 132480, 79532, 134903]","['freelance', 'salary']","[6448245, 9999498]",0,0,0,0,0,3,9,0,0,1,citizen
a811e367-0367-4861-8878-beb590ea2e03,"[684902, 329866]","[5.096563941213573, 6.725802242878116, 4.833217192936238]","[19030931, 1266226, 2854908]","[113279, 9593, 10814]","[28849872, 5045061, 5000000]","[17135, 288593, 256958, 149701, 45344, 213420]","['bonus', 'bonus', 'salary']","[4787994, 4478246, 22496464]",0,0,0,0,0,8,5,1,1,1,other
d053d67c-6d6a-4cee-9bb6-f3bf4c0f7022,"[172415, 161939]","[3.1139808056424907, 8.282585957971499, 5.662226211933701, 9.991226946783218]","[7611055, 920092, 1619958, 742669]","[27576, 10953, 13500, 12378]","[8245712, 4783153, 5000000, 1000000]","[13059, 20739, 20681, 28353, 15301]","['bonus', 'bonus', 'freelance']","[2982589, 2311872, 2897370]",0,0,0,0,0,25,21,1,1,1,permanentResident
11231aa8-0662-4432-81c2-3bbbf2ac0a11,[994803],"[13.910742004691564, 10.80001130721124, 6.048721522843843]","[2174453, 1539865, 3258554]","[45301, 42774, 16972]","[2537793, 1819525, 9684051]","[20900, 115768, 157746, 45093]","['investment', 'salary', 'salary']","[4884080, 5498883, 14286003]",0,0,0,0,0,25,24,1,0,1,other
b2b197f2-729b-4c99-aa48-417d8f8879dc,[654080],"[6.829917299564793, 6.196504931400149, 6.822551814897957, 12.43027394918703, 15.852298517000602]","[3417943, 17925403, 1515942, 315865, 676485]","[56966, 78620, 31582, 4387, 9396]","[4678863, 39962439, 2335869, 4682139, 1125154]","[61794, 103607, 11967]","['freelance', 'salary']","[11079876, 12442821]",0,0,0,0,0,15,3,0,1,1,other
a0e478f5-8bbb-4fdd-8d62-b669cf68daf5,"[273680, 137175]","[6.813091079858037, 19.707896309505077, 3.558279276920553, 4.750486943822744, 10.561573974570171]","[1216389, 287108, 4512938, 608325, 201907]","[20273, 5981, 12536, 10139, 5609]","[4085096, 3487726, 5000000, 1000000, 1000000]","[20398, 12886]",['investment'],[9115232],0,0,0,0,0,26,11,1,0,1,other
1b6726c5-d1ff-4bf4-8593-210429f516d3,"[1233265, 1307179]","[12.393126201257079, 4.097052876701258, 5.346407152093955, 19.68988028277819, 11.854000562525357]","[972787, 3456065, 15228983, 438220, 249282]","[81066, 15158, 48811, 7304, 3462]","[3502519, 8692826, 19723303, 1243578, 818878]","[19240, 54434, 205980, 152169]","['salary', 'salary']","[19610540, 16072314]",0,0,0,0,0,5,21,0,0,1,other
2173d049-a79c-4557-b3d7-47369803c59e,"[1098972, 539071, 870517, 425195]","[5.966784079966745, 10.277965730726944]","[8397042, 6344123]","[63614, 176226]","[9226609, 8166090]","[140835, 295300, 176567, 241378, 269230, 307002]","['salary', 'bonus', 'salary']","[20958054, 4583976, 21028788]",0,0,0,0,0,4,9,0,1,1,other
10be4e72-7cda-49f8-931a-a3be6e86973b,"[392950, 3400407, 496632, 3286568]","[6.8341490638786695, 14.543921833785502]","[4820173, 634768]","[100420, 10579]","[9649175, 1582557]","[412324, 133411, 244021, 154087]","['salary', 'salary', 'salary']","[13202505, 17019700, 24886221]",0,0,0,0,0,13,16,0,0,1,permanentResident
b1eba5dc-a09f-41ba-aba6-093447e9fb53,"[1079163, 1043442, 415074, 197602]","[10.611783755438495, 9.816849208179402, 5.813042971171834]","[195954, 3019023, 5835493]","[2333, 35941, 25594]","[1972208, 3762742, 15092298]","[81074, 129177, 80597, 26895]","['freelance', 'investment', 'freelance']","[5733620, 2851955, 8432453]",0,0,0,0,0,14,25,0,0,1,permanentResident
db64c1ee-7c3b-4712-aa89-26770c51a883,"[230781, 157137, 507333, 375530]","[5.702192001830883, 4.753556727965376]","[5547133, 3391041]","[92452, 56517]","[6815188, 7004550]","[111940, 95123, 36752, 29596, 110367, 58165]","['bonus', 'investment', 'freelance']","[3041150, 9477633, 2329751]",0,0,0,0,0,15,3,0,0,1,other
b72960e3-13cc-412e-9572-c555f6c6a1f7,[147261],"[3.6640101768116944, 10.055285317240571, 6.734167364890322, 4.538880384845969]","[970514, 161840, 2400387, 3024201]","[4493, 6743, 12502, 10081]","[5000000, 200000, 5000000, 5000000]","[22558, 19118, 10199, 19238, 22606, 19243]",['investment'],[2651726],0,0,0,0,0,18,10,1,1,1,citizen
b20b4d6e-84a5-4b51-8439-1173712d781e,"[343225, 292373]","[5.653908507670865, 15.420794119594312, 17.220630262905807, 10.533753484890527, 3.5389281985215932]","[6038508, 1881976, 965571, 354536, 4731849]","[27956, 31366, 11495, 7386, 17924]","[21677350, 4483046, 2524107, 5658771, 5000000]","[66511, 36269, 35604]","['bonus', 'freelance']","[533385, 11441058]",0,0,0,0,0,9,4,1,1,1,citizen
f82c6769-b48b-49d7-b56f-881c8040952d,[140968],"[12.74340737398732, 9.473662287639119]","[1312998, 839669]","[54708, 34986]","[3717377, 844814]","[64573, 39550, 21145, 69257]","['freelance', 'investment', 'bonus']","[3551754, 4785623, 3631647]",0,0,0,0,0,22,25,0,0,1,citizen
1f2125ea-19fe-40c2-85b4-dee6cce8f292,"[705957, 1287003]","[16.691761706944973, 4.71279527365664, 12.858493882095226, 5.214429290047569, 6.780686878122202]","[1989938, 22783151, 2031663, 5916879, 1696192]","[33166, 135614, 28218, 18262, 7853]","[3342073, 45430279, 2643409, 9090156, 10240454]","[315521, 253443, 130565, 138483, 323128]","['freelance', 'salary', 'salary']","[7242110, 17113950, 14553346]",0,0,0,0,0,29,14,1,0,1,other
e8b843b8-a4cf-432a-89ab-a2c2b34e8dd9,"[207484, 161717, 151529]",[5.859459844439758],[491946],[8199],[800587],"[29973, 10094, 35381, 12288]","['investment', 'bonus', 'bonus']","[4066619, 623128, 1716085]",0,0,0,0,0,8,7,0,0,1,citizen
ce761d9a-d2ee-431c-87b1-0aa2b7ceac23,"[418102, 253650, 367768, 239403]","[11.190525131974134, 5.74514854501353, 7.299148142057501]","[750974, 22079342, 3065855]","[10430, 114997, 19653]","[2866328, 35793407, 8854517]","[41650, 114382, 110306, 111435]","['salary', 'freelance']","[5796320, 11526624]",0,0,0,0,0,19,9,0,1,1,other
