business_name,business_type,business_city,business_state,business_start_date,business_description,naics_code,fulltime_employees_count,fulltime_employees_annual_payroll,ever_filed_bankruptcy,bankruptcy_description,ongoing_lawsuits,lawsuits_description,future_owners,annual_revenue_year_one,annual_revenue_year_two,annual_revenue_year_three,net_operating_income_year_one,net_operating_income_year_two,net_operating_income_year_three,has_no_debts,debts,has_no_credit_debts,credit_debts,is_missing_tax_returns,missing_tax_returns_description,inquiry_id,user_id,organization_id,id,meta_status,created_at,updated_at,business_address,business_zip_code,business_phone_number
"Franecki - Hagenes","LLC","Danburgh","WI","2025-04-05 09:17:28.487+00","Sono tibi cupiditas impedit architecto distinctio ago. Cornu suscipit vitium acceptus cohaero vitium quod altus. Suus terminatio absconditus vinitor accommodo.","333618","15","107670948","f","Suus careo depromo accedo adeptio dolorum natus alius repudiandae. Asperiores aggredior denuo. Umerus quia abutor truculenter omnis.","t",,"[{""id"": ""0248f330-96b7-4c30-a19c-ac72dcfdc0db"", ""email"": ""Micah_Satterfield-Schowalter@gmail.com"", ""lastName"": ""Satterfield-Schowalter"", ""firstName"": ""Micah"", ""percentage"": 45, ""phoneNumber"": ""+15497185747""}, {""id"": ""79f0bfc8-ac08-44d3-a2e5-c79b474ee6ad"", ""email"": ""Sibyl_Muller@gmail.com"", ""lastName"": ""Muller"", ""firstName"": ""Sibyl"", ""percentage"": 55, ""phoneNumber"": ""+14372927644""}]","269177370","289342637","285344089","21582424","23199259","22878658","f","[{""id"": ""62eb0b7a-2cba-4819-ac14-7a8569a81c21"", ""name"": ""Bank of America Working Capital Loan"", ""interestRate"": 11.74056542007796, ""originalDate"": ""2023-11-26T10:56:58.866Z"", ""currentBalance"": 5810129, ""monthlyPayment"": 126013, ""originalAmount"": 43995265, ""termOrMaturationDate"": ""2027-09-10T06:58:30.505Z""}, {""id"": ""9ea606a2-7bd1-4870-b963-99a96b0eb843"", ""name"": ""SBA 504 Loan - Real Estate Financing"", ""interestRate"": 7.619190904594367, ""originalDate"": ""2025-05-01T00:17:08.312Z"", ""currentBalance"": 32935920, ""monthlyPayment"": 758053, ""originalAmount"": 54112374, ""termOrMaturationDate"": ""2030-09-15T00:40:16.149Z""}]","t","[]","t","Claudeo capillus clam. Dapifer vir delinquo sumo demo audeo pauper vilicus. Claustrum cum carmen.","18a5d7f2-0cc0-4296-af43-b72ad6170a83","k6jncmx3xgbkwxrrz2t3u","d81dc152-c9d3-048b-1572-1f0c4594bf92","daf1e10f-37a9-4603-961c-668c7a2b11fe","t","2025-09-10 22:51:25.763+00",,"3632 Alayna Knolls","98180","+16814483442"
"Moore, Schowalter and McLaughlin","C Corporation","Brookville","MD","2024-09-28 16:17:31.142+00","Aer tribuo tantum arca strenuus acsi sursum tabernus carcer. Arcesso neque sumptus denego deludo commemoro vulgaris comparo coaegresco umbra. Thalassinus laborum reiciendis.","925120","7","40000000","f","Theatrum uterque amo. Crinis crux repudiandae canis voro curtus. Theatrum solutio spero claustrum videlicet aliquid.","t","Argentum admoveo vester vita voluptatem sollers. Thorax sublime supra ambitus numquam conitor adficio. Amplus spoliatio delectus absum.","[{""id"": ""faccd438-7935-43d6-ac3c-9dd0436d218a"", ""email"": ""Phyllis.Ruecker-Hoppe@yahoo.com"", ""lastName"": ""Ruecker-Hoppe"", ""firstName"": ""Phyllis"", ""percentage"": 59, ""phoneNumber"": ""+13623448726""}, {""id"": ""d7c10d82-0d87-42e5-ba6f-6307dad5ac86"", ""email"": ""Frances_McLaughlin@hotmail.com"", ""lastName"": ""McLaughlin"", ""firstName"": ""Frances"", ""percentage"": 33, ""phoneNumber"": ""+12336864467""}, {""id"": ""91add24e-64ef-48a7-8f78-7219d8d220ae"", ""email"": ""Osbaldo.Veum@gmail.com"", ""lastName"": ""Veum"", ""firstName"": ""Osbaldo"", ""percentage"": 8, ""phoneNumber"": ""+16643087086""}]","100000000","108503609","118556374","21732529","23580578","25765299","f","[{""id"": ""fcab0a32-dfab-4079-9bbe-f1f4ba1465c9"", ""name"": ""GE Capital Fleet Vehicle Lease"", ""interestRate"": 7.63862098674418, ""originalDate"": ""2022-05-05T07:00:02.482Z"", ""currentBalance"": 41937948, ""monthlyPayment"": 965923, ""originalAmount"": 90167921, ""termOrMaturationDate"": ""2027-04-07T03:22:25.854Z""}]","t","[]","f","Ullus umquam sub arcesso amitto audeo. Vox bonus ulciscor derideo solutio ullam conqueror absque tripudio crinis. Sopor undique pecco tego triumphus vox adflicto ver deduco absconditus.","877a4a6f-d688-49d0-8e37-8406b4757740","6z2c2twtzsf8vnypwpmc3","d81dc152-c9d3-048b-1572-1f0c4594bf92","c65e2156-97bb-47af-b72c-dc2a8fa2a1d2","t","2025-09-10 20:54:19.993+00",,"5847 N Main Street","29541","+15363356836"
"Franecki LLC","Nonprofit organization","Fisherside","WA","2021-09-04 11:47:48.772+00","Blanditiis asporto degero. Sunt amoveo thesis alienus depopulo uxor commemoro antea creptio adstringo. Dicta ter porro placeat temeritas amoveo sumptus.","331511","136","554764618","f","Tolero deputo ex vado astrum decor. Libero eveniet ipsum. Avarus solum clam sono vestigium quas complectus altus suffoco atqui.","f",,"[{""id"": ""d2a21f46-f67e-4d8c-8305-b397f21ce85c"", ""email"": ""Mekhi_Lowe@yahoo.com"", ""lastName"": ""Lowe"", ""firstName"": ""Mekhi"", ""percentage"": 78, ""phoneNumber"": ""+17662259738""}, {""id"": ""dcb95e42-1f7a-4871-a438-418f428ecfb1"", ""email"": ""Jacinto.Breitenberg@hotmail.com"", ""lastName"": ""Breitenberg"", ""firstName"": ""Jacinto"", ""percentage"": 11, ""phoneNumber"": ""+12919026372""}, {""id"": ""a7caddb4-12a8-44c2-a841-d25bfccd5a72"", ""email"": ""Liliane_Flatley79@hotmail.com"", ""lastName"": ""Flatley"", ""firstName"": ""Liliane"", ""percentage"": 8, ""phoneNumber"": ""+18252027218""}, {""id"": ""b12710d0-41d2-4311-a19e-372e5c382801"", ""email"": ""Dasia.Emmerich@hotmail.com"", ""lastName"": ""Emmerich"", ""firstName"": ""Dasia"", ""percentage"": 3, ""phoneNumber"": ""+17512526319""}]","1386911544","1314962107","1206994233","488402547","463065467","425044452","f","[{""id"": ""516bcfb3-3322-4cc8-ac23-1e205687989c"", ""name"": ""Sysco Food Supplier Credit Line"", ""interestRate"": 10.28437777065614, ""originalDate"": ""2018-08-16T04:20:28.882Z"", ""currentBalance"": 28380244, ""monthlyPayment"": 479730, ""originalAmount"": 36298841, ""termOrMaturationDate"": ""2026-10-16T22:43:06.171Z""}, {""id"": ""bcc7afc1-e14b-404f-9aa9-08835707c38e"", ""name"": ""Pending Lawsuit Settlement Debt"", ""interestRate"": 6.897328341465677, ""originalDate"": ""2020-02-13T19:14:56.617Z"", ""currentBalance"": 4851314, ""monthlyPayment"": 85638, ""originalAmount"": 22718290, ""termOrMaturationDate"": ""2027-10-08T12:17:26.168Z""}]","f","[{""id"": ""233b561b-5fc6-4118-8603-7dde2ae36873"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 2759769}, {""id"": ""eb81bd24-c68f-496f-85c4-51704fe3eac6"", ""name"": ""Wells Fargo Business Elite Card"", ""balance"": 2059145}]","t","Viduo adicio vulpes adfectus iusto caput aegre cedo templum. Magnam bestia ustulo cariosus demulceo ducimus. Bis alveus velociter absum.","b1255a9a-b3b7-46e3-94dd-97a1da9cbf7b","j71cxog5l8w2ty4rlpuwe","d81dc152-c9d3-048b-1572-1f0c4594bf92","6852c174-b675-4023-976b-a2661379ab89","t","2025-08-13 09:05:50.484+00",,"472 Roscoe Expressway","53911","+19347559298"
"Bode Inc","LLC","Minnetonka","ME","2022-04-28 14:28:27.04+00","Approbo patrocinor comis ventosus carbo torrens. Cogito beneficium confido vulpes vapulus annus. Viduo amaritudo ascisco aeneus deleo anser ascisco.","562991","14","92384774","f","Strenuus commemoro coniuratio derideo veritatis. Depono vobis aliqua paens casso aeneus ullus dapifer. Decerno confido magnam concido catena amplexus veniam substantia.","t",,"[{""id"": ""a1d70e36-541b-4c79-aafb-cf2d13765cdd"", ""email"": ""Kirsten.Heller87@yahoo.com"", ""lastName"": ""Heller"", ""firstName"": ""Kirsten"", ""percentage"": 75, ""phoneNumber"": ""+13475077982""}, {""id"": ""d62b8765-8d09-45dd-b2c8-c4b7b00f117c"", ""email"": ""Aaron.Fritsch81@gmail.com"", ""lastName"": ""Fritsch"", ""firstName"": ""Aaron"", ""percentage"": 24, ""phoneNumber"": ""+13209693249""}, {""id"": ""74fd3e57-d909-435b-b21f-3230a1b748c8"", ""email"": ""Anais_Willms32@hotmail.com"", ""lastName"": ""Willms"", ""firstName"": ""Anais"", ""percentage"": 1, ""phoneNumber"": ""+12582057044""}]","230961934","217120966","225690960","78573354","73864651","76780167","f","[{""id"": ""776bf3c4-8234-4e99-b7cc-2504a3d96941"", ""name"": ""Sysco Food Supplier Credit Line"", ""interestRate"": 9.325042302396673, ""originalDate"": ""2021-07-15T05:25:03.012Z"", ""currentBalance"": 24904036, ""monthlyPayment"": 490003, ""originalAmount"": 63352974, ""termOrMaturationDate"": ""2026-07-20T03:05:09.622Z""}]","f","[{""id"": ""526df696-6b75-43eb-a0db-c01a61bab307"", ""name"": ""Stripe Corporate Business Card"", ""balance"": 787159}, {""id"": ""6459b472-99c5-4ac2-9b33-1136ffa276f6"", ""name"": ""US Bank Business Leverage Visa"", ""balance"": 945702}, {""id"": ""4265a3e2-88a9-4359-87b3-bbe7793c35c4"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 742243}, {""id"": ""53e3d2a5-8dd1-41b7-b51d-3919512adc9a"", ""name"": ""Wells Fargo Business Elite Card"", ""balance"": 2831244}]","t","Adhuc aestus coerceo aptus sub decipio uter socius. Deludo pecco absque asperiores. Contabesco candidus adeo decipio demitto collum ullam cur bos.","9db9ac13-2075-44b7-b0db-376a3c43a5f2","2ia6nio2nmkzd6z2ccpzy","d81dc152-c9d3-048b-1572-1f0c4594bf92","8b1d69ec-6833-4846-bc3f-52416b284091","t","2025-08-28 14:45:09.201+00",,"8165 Watsica Burgs","12546","+15808871303"
"Rutherford, Jenkins and Haag","C Corporation","West Elroycester","SD","2020-01-30 22:57:46.071+00","Quae libero aperiam. Venustas suppellex conforto coniecto inflammatio. Creber voluntarius amiculum demum aegrotatio tametsi.","541870","32","215633946","f","Accusamus cognomen ultio ventosus eum veniam ullam maiores natus dedecor. Tempore rem copia demergo terminatio tumultus rerum. Acceptus trans sulum curo verus adeo vigor facilis subseco adimpleo.","f",,"[{""id"": ""61c77356-4a38-44d3-b7a5-8aa04f37ceb5"", ""email"": ""Ena.Oberbrunner@gmail.com"", ""lastName"": ""Oberbrunner"", ""firstName"": ""Ena"", ""percentage"": 100, ""phoneNumber"": ""+13697787347""}]","539084864","532387197","582572839","6829516","6744665","7380453","f","[{""id"": ""01f7d254-240b-4efc-a22f-81616574511c"", ""name"": ""Contract Breach Judgment Debt"", ""interestRate"": 11.570761433036452, ""originalDate"": ""2022-06-01T04:08:56.816Z"", ""currentBalance"": 12645332, ""monthlyPayment"": 473189, ""originalAmount"": 21479606, ""termOrMaturationDate"": ""2026-07-14T17:26:20.305Z""}, {""id"": ""be064a8c-a868-4ab4-adbc-f6faeb2335e3"", ""name"": ""Unpaid Corporate Income Tax"", ""interestRate"": 11.158803458815957, ""originalDate"": ""2019-08-27T00:52:54.395Z"", ""currentBalance"": 5377801, ""monthlyPayment"": 199392, ""originalAmount"": 8473311, ""termOrMaturationDate"": ""2027-01-18T10:27:38.401Z""}, {""id"": ""1ea37ef5-32ad-4f18-a84a-d16ea4ad7181"", ""name"": ""Fastenal Industrial Supplier Credit"", ""interestRate"": 5.426821785172385, ""originalDate"": ""2022-07-27T04:13:08.772Z"", ""currentBalance"": 10218738, ""monthlyPayment"": 330067, ""originalAmount"": 10412177, ""termOrMaturationDate"": ""2028-02-09T14:26:57.723Z""}]","t","[]","t","Antiquus tabula eaque. Timor termes curriculum ciminatio id conor tum universe. Cornu uxor admiratio canonicus veritatis odio stillicidium solium.","4b310632-e1fa-4f52-add0-5fcc3ed5b011","qnr2ufx8hzvavbbg2quon","d81dc152-c9d3-048b-1572-1f0c4594bf92","3ec9c015-895d-4efb-8d3b-62104b9be76e","t","2025-08-30 06:32:56.972+00",,"486 Zetta Circle","85167","+15885413557"
"Maggio and Sons","Partnership","Kertzmannfield","ND","2021-11-25 08:43:16.877+00","Speciosus cornu agnitio vivo versus adfectus adnuo solum conspergo. Similique conitor debeo. Accusamus ea crux avaritia absconditus socius.","424340","231","800000000","f","Demitto certus testimonium triumphus admiratio nulla versus absens comis comptus. Adipisci odio desparatus civis. Ait sint bos comptus.","t",,"[{""id"": ""03ca4e27-c649-4650-b05f-6c4394e8ddce"", ""email"": ""Tessie_Rohan36@hotmail.com"", ""lastName"": ""Rohan"", ""firstName"": ""Tessie"", ""percentage"": 7, ""phoneNumber"": ""+12552483143""}, {""id"": ""e366cfca-fc57-47c3-9a48-d97c1cbd6630"", ""email"": ""Kelvin_Hoeger76@gmail.com"", ""lastName"": ""Hoeger"", ""firstName"": ""Kelvin"", ""percentage"": 34, ""phoneNumber"": ""+15166273729""}, {""id"": ""888dd87f-6cdd-4892-8a52-8f093a333cd3"", ""email"": ""Mitchel.Jenkins1@gmail.com"", ""lastName"": ""Jenkins"", ""firstName"": ""Mitchel"", ""percentage"": 59, ""phoneNumber"": ""+18223299882""}]","2000000000","1819948561","1687631257","256456581","233368893","216402071","f","[{""id"": ""a6291cc4-d780-4a7d-b9a9-12da4b46ecf4"", ""name"": ""US Bank Equipment Financing"", ""interestRate"": 10.72066769889489, ""originalDate"": ""2023-07-02T19:38:12.032Z"", ""currentBalance"": 8807604, ""monthlyPayment"": 201014, ""originalAmount"": 16530371, ""termOrMaturationDate"": ""2028-06-12T05:08:55.444Z""}, {""id"": ""1282aaff-671a-4900-954b-786fdcd4f836"", ""name"": ""US Bank Equipment Financing"", ""interestRate"": 9.588832413413662, ""originalDate"": ""2021-06-29T20:34:10.930Z"", ""currentBalance"": 6836125, ""monthlyPayment"": 149572, ""originalAmount"": 65812808, ""termOrMaturationDate"": ""2030-01-22T23:22:23.754Z""}]","f","[{""id"": ""55d925a4-bd15-49e6-9400-3e952b3df136"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 928986}]","t","Porro vinco abduco laboriosam totam carpo. Virgo triduana veritatis. Terebro tracto cupio annus contabesco timor.","f7e061c5-b860-45f9-abed-9f033c64b7cd","eca1vtd2uqxxfolabuhuz","d81dc152-c9d3-048b-1572-1f0c4594bf92","640f1087-e784-4453-95f6-642a23f82b6c","t","2025-08-22 03:55:29.517+00",,"117 Hope Mall","69513","+17146368036"
"Hane, Gislason and Vandervort","Joint venture","Margaretetown","UT","2019-11-04 17:08:42.237+00","Supellex correptius combibo doloribus crur. Fugit undique avaritia. Ter cerno thymum utilis cotidie claustrum acervus umerus crur territo.","624190","102","606533045","t","Minima damno tamisium clamo conspergo benigne tamdiu anser cibo. Spero tendo cibo aduro cetera pecus thesaurus summopere cado. Venia distinctio adeptio doloremque compono autus.","f","Animadverto vaco quia ambitus viscus. Aiunt verto capillus patruus dicta at deficio acer vallum. Ago clibanus ager.","[{""id"": ""28e60188-70cd-477e-92fd-6ebc68c6409d"", ""email"": ""Aida.Cole58@gmail.com"", ""lastName"": ""Cole"", ""firstName"": ""Aida"", ""percentage"": 1, ""phoneNumber"": ""+19724873957""}, {""id"": ""bea10d0f-40d6-4fde-ab5e-70cf9e4faed6"", ""email"": ""Avery.Aufderhar@hotmail.com"", ""lastName"": ""Aufderhar"", ""firstName"": ""Avery"", ""percentage"": 29, ""phoneNumber"": ""+15799361732""}, {""id"": ""3a41300c-9acc-4ab8-b529-0401663c7a8b"", ""email"": ""Madie_Reichert30@hotmail.com"", ""lastName"": ""Reichert"", ""firstName"": ""Madie"", ""percentage"": 13, ""phoneNumber"": ""+14955174286""}, {""id"": ""e0d523ef-1a5e-4e3b-8573-01d3f589614c"", ""email"": ""Jacquelyn.Smitham71@hotmail.com"", ""lastName"": ""Smitham"", ""firstName"": ""Jacquelyn"", ""percentage"": 15, ""phoneNumber"": ""+15706146925""}, {""id"": ""4e00a9ae-ab58-4e65-9d85-0e5690bad6c0"", ""email"": ""Dennis_OKeefe@yahoo.com"", ""lastName"": ""O'Keefe"", ""firstName"": ""Dennis"", ""percentage"": 42, ""phoneNumber"": ""+13327327263""}]","1516332612","1596312829","1646957730","444133329","467559508","482393383","f","[{""id"": ""f142e2a2-d61a-4a1e-a471-5ac59fe765c6"", ""name"": ""SBA 7(a) Loan - Capital Growth"", ""interestRate"": 9.325713718114109, ""originalDate"": ""2024-01-26T08:51:23.314Z"", ""currentBalance"": 9353099, ""monthlyPayment"": 228572, ""originalAmount"": 31569348, ""termOrMaturationDate"": ""2025-11-07T10:09:46.297Z""}, {""id"": ""337686e1-b4cf-4575-bdb5-e0bcde728198"", ""name"": ""SBA 7(a) Loan - Capital Growth"", ""interestRate"": 5.158555125989506, ""originalDate"": ""2024-10-26T07:41:37.001Z"", ""currentBalance"": 17755858, ""monthlyPayment"": 224294, ""originalAmount"": 32384507, ""termOrMaturationDate"": ""2033-07-26T05:10:40.614Z""}, {""id"": ""274951ce-a022-449e-a4a3-f6e3afc25259"", ""name"": ""SBA 504 Loan - Real Estate Financing"", ""interestRate"": 11.967628511465865, ""originalDate"": ""2018-12-30T21:49:24.908Z"", ""currentBalance"": 15111449, ""monthlyPayment"": 570469, ""originalAmount"": 16272871, ""termOrMaturationDate"": ""2025-10-12T05:05:56.401Z""}]","f","[{""id"": ""eaff405c-c3dc-4962-a6c5-409789cbead5"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 2307622}, {""id"": ""fbc0e744-1029-4d26-85cc-331de5a48f08"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 1711826}, {""id"": ""eb1fdde9-3201-4b1d-876e-1e45b764381e"", ""name"": ""American Express Business Platinum Card"", ""balance"": 1839689}, {""id"": ""a2ce06a5-21af-4457-8111-c44f1a1ff839"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 284983}]","t","Tremo consectetur urbanus tempora caries aspernatur crebro blandior contra. Varietas eligendi cotidie curriculum vallum ater calculus laboriosam cilicium. Virgo spargo tabgo clementia dolor itaque torrens contego considero vereor.","b4fb84f1-35ea-4344-b256-0c286b96a0de","rewewrh940s65medhm08y","d81dc152-c9d3-048b-1572-1f0c4594bf92","cc7e3bcb-9eab-481f-8e40-f43b1318dfe1","t","2025-09-06 07:48:16.066+00",,"9100 North Lane","30227","+18988817579"
"Daugherty and Sons","Franchise","Allenville","NV","2022-03-09 08:00:24.966+00","Terminatio annus adeo calculus tendo. Aegrotatio placeat tui corona deduco viriliter trepide turbo civis astrum. Cursim allatus suspendo dens reprehenderit credo benevolentia defessus delinquo.","112930","164","670910093","f","Molestias inflammatio arbitro astrum calcar curis testimonium sono tenus degenero. Synagoga coepi cumque cicuta voveo. Canto tenus tempus confero comprehendo degusto bibo.","t","Cruentus terror thesis acquiro capillus. Coruscus amor quaerat patria. Crur verecundia defendo ars soleo derideo.","[{""id"": ""e883a24d-8462-4299-b271-54e9c2ca19e8"", ""email"": ""Delta.Goldner9@yahoo.com"", ""lastName"": ""Goldner"", ""firstName"": ""Delta"", ""percentage"": 20, ""phoneNumber"": ""+17897198558""}, {""id"": ""682b9443-b2e6-471a-9482-a173b13d52eb"", ""email"": ""Isadore.Carroll23@yahoo.com"", ""lastName"": ""Carroll"", ""firstName"": ""Isadore"", ""percentage"": 73, ""phoneNumber"": ""+16082657212""}, {""id"": ""4c07d7b5-4b50-42a7-a428-3e5a0f98187e"", ""email"": ""Daphne.Treutel@hotmail.com"", ""lastName"": ""Treutel"", ""firstName"": ""Daphne"", ""percentage"": 4, ""phoneNumber"": ""+19817750438""}, {""id"": ""2e3a9d5f-0040-4d6e-93a2-bc2b951859da"", ""email"": ""Naomi_Kautzer97@hotmail.com"", ""lastName"": ""Kautzer"", ""firstName"": ""Naomi"", ""percentage"": 2, ""phoneNumber"": ""+16793727907""}, {""id"": ""3f5194f0-3160-40af-b9e3-478af6abdf1a"", ""email"": ""Jeanne.Wehner@yahoo.com"", ""lastName"": ""Wehner"", ""firstName"": ""Jeanne"", ""percentage"": 1, ""phoneNumber"": ""+19475493101""}]","1677275232","1668727899","1673719028","554178036","551353965","553003053","f","[{""id"": ""93e57258-375c-432e-92c8-ea183248b2a7"", ""name"": ""Unpaid Corporate Income Tax"", ""interestRate"": 9.631435435989246, ""originalDate"": ""2024-07-28T16:37:09.402Z"", ""currentBalance"": 25236134, ""monthlyPayment"": 436218, ""originalAmount"": 53875273, ""termOrMaturationDate"": ""2032-09-28T04:42:27.526Z""}, {""id"": ""4f3acf2a-ec2b-48c2-a1ae-c940961e4455"", ""name"": ""Pending Lawsuit Settlement Debt"", ""interestRate"": 11.065080730929973, ""originalDate"": ""2017-11-04T10:17:48.078Z"", ""currentBalance"": 25318339, ""monthlyPayment"": 444444, ""originalAmount"": 42095465, ""termOrMaturationDate"": ""2034-07-02T08:37:01.807Z""}, {""id"": ""08601e63-8b76-4dac-9fb2-5afe14451735"", ""name"": ""State Sales Tax Delinquency"", ""interestRate"": 6.603362912220371, ""originalDate"": ""2024-03-21T16:54:32.023Z"", ""currentBalance"": 3264266, ""monthlyPayment"": 72367, ""originalAmount"": 5000000, ""termOrMaturationDate"": ""2026-01-22T09:16:52.815Z""}]","f","[{""id"": ""864afbcc-e2d8-4790-9cb5-143067c5474f"", ""name"": ""US Bank Business Leverage Visa"", ""balance"": 2343257}, {""id"": ""07569342-96bb-4c55-9471-a890ced19784"", ""name"": ""Stripe Corporate Business Card"", ""balance"": 4376310}]","t","Tepidus acidus cedo tabernus sopor uxor coepi trepide magni conscendo. Vomito voluptatem atqui tollo validus pecto acerbitas spes conatus. Appello doloribus volubilis.","9d5a3620-c537-407c-ba7a-4ba293b5da87","s7iewcqqf3bxf9ue7rehi","d81dc152-c9d3-048b-1572-1f0c4594bf92","5046169a-0997-45de-8ffa-16bb465629b3","t","2025-08-26 09:42:58.007+00",,"6571 Pacocha Summit","85561","+17594277747"
"Reichel, Strosin and Stroman","Joint venture","North Casimerside","GA","2019-02-10 02:32:46.072+00","Complectus tabgo accommodo capitulus aqua capitulus. Arca terga caveo testimonium. Fugiat adeo cornu.","314910","31","151359509","f","Angelus terga architecto voro victoria caute et usus. Acceptus tergeo verumtamen tredecim temperantia. Cena ara nesciunt incidunt sol.","f",,"[{""id"": ""57b7cf95-b880-4b21-84d9-c4250c6059e8"", ""email"": ""Eunice_Bogan68@yahoo.com"", ""lastName"": ""Bogan"", ""firstName"": ""Eunice"", ""percentage"": 13, ""phoneNumber"": ""+17778124717""}, {""id"": ""303b557e-995f-4649-beaf-9b4864d4ebe2"", ""email"": ""Maximilian_Roob51@hotmail.com"", ""lastName"": ""Roob"", ""firstName"": ""Maximilian"", ""percentage"": 59, ""phoneNumber"": ""+15183297029""}, {""id"": ""fc55441d-cb5c-4ffc-92fb-8476263e9a88"", ""email"": ""Newell.Cole12@gmail.com"", ""lastName"": ""Cole"", ""firstName"": ""Newell"", ""percentage"": 11, ""phoneNumber"": ""+19465715658""}, {""id"": ""0da654f4-5e8d-4db3-81c9-b5f6e9c9989e"", ""email"": ""Vern.Ledner34@gmail.com"", ""lastName"": ""Ledner"", ""firstName"": ""Vern"", ""percentage"": 9, ""phoneNumber"": ""+19438311097""}, {""id"": ""7626a8b8-f301-45c0-b382-af30976b4195"", ""email"": ""Jaylan.Skiles29@gmail.com"", ""lastName"": ""Skiles"", ""firstName"": ""Jaylan"", ""percentage"": 8, ""phoneNumber"": ""+14646274261""}]","378398772","360733173","372449415","77564134","73943041","76344635","f","[{""id"": ""fb8ad32a-029a-4170-bd92-ee5ecbca7353"", ""name"": ""US Bank Equipment Financing"", ""interestRate"": 7.417190544738942, ""originalDate"": ""2022-11-16T09:12:22.460Z"", ""currentBalance"": 22260910, ""monthlyPayment"": 508610, ""originalAmount"": 23206988, ""termOrMaturationDate"": ""2026-06-14T13:22:23.444Z""}]","f","[{""id"": ""72d28068-7203-4db4-bd12-7d360600352a"", ""name"": ""American Express Business Platinum Card"", ""balance"": 3393002}, {""id"": ""85c5a385-3c00-4b60-aa48-beb75e076df4"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 3841174}, {""id"": ""4274a37d-ebf5-4371-9344-5ddc75454664"", ""name"": ""Bank of America Business Advantage Credit Card"", ""balance"": 3738160}, {""id"": ""54910cad-8a70-4be9-94aa-73ad64f44ac5"", ""name"": ""Chase Ink Business Credit Card"", ""balance"": 2176214}, {""id"": ""51fc24ab-8af3-4ee8-92fc-279744d4faf5"", ""name"": ""Discover It Business Card"", ""balance"": 3194585}]","f","Sulum tam amor adsidue creptio ago amplus. Admoneo vulpes sint cotidie copiose tricesimus creptio vivo. Cetera defungo amitto abduco delectus.","4e34610f-aba1-419f-9627-58d12b00ce3a","yxgkkja9hu2hs8mmjg0b5","d81dc152-c9d3-048b-1572-1f0c4594bf92","3593d72a-2750-4825-8f45-af2689b6d1d1","t","2025-08-25 01:31:33.638+00",,"542 Batz Throughway","70449","+18546047729"
"Yundt - Wintheiser","Joint venture","Zackfield","WY","2017-05-18 19:58:03.297+00","Versus velociter corpus conservo deporto. Correptius comprehendo tolero officia. Decet contra cetera sed suspendo.","321219","142","800000000","f","Vindico cervus dicta adulatio. Barba cavus celo comptus. Cupressus astrum deleniti audio cubicularis.","f",,"[{""id"": ""2d5a4cc1-dcb2-43a0-a0cc-02faa8b7ec3b"", ""email"": ""Nikko_Krajcik67@yahoo.com"", ""lastName"": ""Krajcik"", ""firstName"": ""Nikko"", ""percentage"": 67, ""phoneNumber"": ""+18613172584""}, {""id"": ""406ed101-a24c-45ee-8aac-da2c90917a1e"", ""email"": ""Kennith_Klein@hotmail.com"", ""lastName"": ""Klein"", ""firstName"": ""Kennith"", ""percentage"": 33, ""phoneNumber"": ""+18555474307""}]","2000000000","1804680065","1889847499","300281838","270956323","283743440","f","[{""id"": ""cd3c941e-62ab-4570-b739-04939fb12227"", ""name"": ""Bank of America Working Capital Loan"", ""interestRate"": 11.267983406953046, ""originalDate"": ""2020-04-25T18:22:56.593Z"", ""currentBalance"": 13686367, ""monthlyPayment"": 508692, ""originalAmount"": 47697764, ""termOrMaturationDate"": ""2028-04-28T02:20:38.300Z""}, {""id"": ""fb91ad06-bb1f-4ccc-b192-36bb7224abbd"", ""name"": ""PayPal Working Capital Loan"", ""interestRate"": 11.445012703397126, ""originalDate"": ""2016-10-04T17:42:11.020Z"", ""currentBalance"": 15325835, ""monthlyPayment"": 571888, ""originalAmount"": 25376716, ""termOrMaturationDate"": ""2027-06-06T05:26:45.646Z""}]","f","[{""id"": ""3f258794-83e3-44e4-8c66-1550bf221019"", ""name"": ""CitiBusiness AAdvantage Platinum Card"", ""balance"": 4939774}]","f","Vindico patria ager natus cauda audeo uter suggero fugiat aureus. Aegrus benigne depraedor traho crustulum timidus. Sum nobis consequatur turbo vox deludo super vinum condico somnus.","63400b41-7bf9-447e-ac48-a0b3bd5e659a","87qox8pikzkba9s2y56f5","d81dc152-c9d3-048b-1572-1f0c4594bf92","7f706c6a-bb1d-4753-9877-ced72538b59b","t","2025-08-20 16:10:02.926+00",,"939 Omari Hills","21485","+13993472239"
