inquiry_id,fund_use_list,fund_amount_list,fund_use_count,total_fund_amount
05cf84f7-d537-4350-94b6-36e68edf924e,"['Equipment Purchase', 'Research and Development', 'Marketing', 'Office Expansion', 'Working Capital', 'Staff Hiring', 'Technology Upgrade']","[17065969.0, 1736764.0, 642045.0, 2255710.0, 2257288.0, 6565571.0, 38292999.0]",7,68816346.0
066b14b4-9ea3-48aa-9d6a-10358a7e3b15,"['Staff Hiring', 'Marketing', 'Inventory', 'Working Capital', 'Office Expansion', 'Equipment Purchase']","[839656.0, 2577810.0, 1569861.0, 505285.0, 512585.0, 12795624.0]",6,18800821.0
072c3d7c-9d9b-42db-95d3-bdf91a973d4f,"['Equipment Purchase', 'Office Expansion']","[15394667.0, 74566337.0]",2,89961004.0
07f90b81-1187-4b71-b39a-b2feb5a235ef,"['Inventory', 'Research and Development', 'Staff Hiring', 'Office Expansion', 'Marketing']","[1569131.0, 682867.0, 2132251.0, 956299.0, 10365480.0]",5,15706028.0
083345b4-5f3d-469d-b041-97b8a932be47,"['Marketing', 'Research and Development', 'Office Expansion']","[4437827.0, 2800054.0, 56560902.0]",3,63798783.0
08a7c9e3-fcc5-4c8e-b38a-09134d721184,"['Equipment Purchase', 'Technology Upgrade', 'Working Capital', 'Inventory', 'Marketing', 'Staff Hiring']","[1194404.0, 919347.0, 500000.0, 947544.0, 916351.0, 7420773.0]",6,11898419.0
08e21b62-0aea-4a63-bfda-daf8a1c4ee15,"['Working Capital', 'Office Expansion', 'Research and Development']","[1597306.0, 1522387.0, 36254026.0]",3,39373719.0
08f18deb-4b2d-4251-a1e1-60efc2d7f5a7,"['Office Expansion', 'Working Capital', 'Marketing', 'Inventory', 'Staff Hiring', 'Equipment Purchase', 'Research and Development']","[5831966.0, 2933884.0, 6402780.0, 9294330.0, 12281128.0, 12417007.0, 49305362.0]",7,98466457.0
0903b80a-34e8-451a-9a0d-fedc3e326b4b,"['Technology Upgrade', 'Staff Hiring', 'Equipment Purchase', 'Office Expansion']","[1179064.0, 2586778.0, 2450389.0, 11843069.0]",4,18059300.0
0985ab0c-9766-40dd-8aff-4467bf9425aa,"['Technology Upgrade', 'Inventory', 'Office Expansion', 'Staff Hiring', 'Equipment Purchase', 'Working Capital', 'Research and Development']","[3725837.0, 4546531.0, 2792522.0, 5079861.0, 3895768.0, 1004959.0, 27600347.0]",7,48645825.0
098d3109-0522-40cc-9e34-b3e298b3b1db,"['Working Capital', 'Staff Hiring', 'Equipment Purchase', 'Technology Upgrade', 'Inventory', 'Research and Development']","[1186740.0, 6260164.0, 4600523.0, 1312620.0, 2662634.0, 17003697.0]",6,33026378.0
0adffd08-eefa-4ac9-8750-1e7f6583339a,"['Marketing', 'Research and Development', 'Office Expansion']","[3351275.0, 774565.0, 20197692.0]",3,24323532.0
0b2a49a9-7235-4f47-845c-e116592ad2ee,"['Inventory', 'Office Expansion', 'Working Capital', 'Equipment Purchase', 'Research and Development', 'Marketing']","[553165.0, 682767.0, 500000.0, 808824.0, 500000.0, 4418111.0]",6,7462867.0
0bf623fb-fd66-4c03-98bf-29921f8220c0,"['Working Capital', 'Equipment Purchase', 'Technology Upgrade']","[1107719.0, 8580069.0, 30580478.0]",3,40268266.0
0c0468c6-3327-4f52-9e53-b8a633c16439,"['Technology Upgrade', 'Research and Development', 'Office Expansion', 'Working Capital']","[2429025.0, 2073228.0, 1833544.0, 49232296.0]",4,55568093.0
0c049f42-d428-49b7-81c0-87600542e0e5,"['Research and Development', 'Inventory']","[1580516.0, 54584070.0]",2,56164586.0
0c37d937-9d9b-4931-925b-2faa7bb96bf9,"['Working Capital', 'Marketing', 'Inventory', 'Technology Upgrade']","[502058.0, 1249703.0, 925089.0, 7415945.0]",4,10092795.0
0c419101-35c1-4069-af87-42fb569653f6,"['Staff Hiring', 'Research and Development', 'Equipment Purchase', 'Working Capital', 'Marketing']","[9032272.0, 1497831.0, 3569961.0, 1508688.0, 47950739.0]",5,63559491.0
0cbfa9b3-c5f8-4055-b195-07b11afdf8ee,"['Staff Hiring', 'Office Expansion', 'Marketing']","[14225270.0, 1736138.0, 75897352.0]",3,91858760.0
0cbfd584-d58a-4aa3-8402-79676e9c1ebc,"['Inventory', 'Equipment Purchase', 'Technology Upgrade', 'Working Capital', 'Marketing', 'Staff Hiring']","[820484.0, 3279467.0, 1024608.0, 500184.0, 1579534.0, 9949164.0]",6,17153441.0
0da89158-bc89-4bff-89ff-d96bee84e280,"['Marketing', 'Research and Development']","[1750275.0, 89920665.0]",2,91670940.0
0e7261e8-ec58-423c-9082-479baaf651fb,"['Inventory', 'Equipment Purchase', 'Office Expansion', 'Staff Hiring', 'Technology Upgrade', 'Research and Development', 'Marketing']","[558738.0, 727602.0, 500000.0, 500000.0, 500000.0, 500000.0, 532768.0]",7,3819108.0
0eac959c-57df-4c65-b02c-1fdadefe4e79,"['Office Expansion', 'Technology Upgrade', 'Marketing']","[786125.0, 2988070.0, 66385834.0]",3,70160029.0
0eb379be-619b-4d65-9906-45d1b58e1a94,"['Office Expansion', 'Research and Development', 'Technology Upgrade', 'Staff Hiring', 'Equipment Purchase', 'Inventory', 'Marketing']","[3457566.0, 617866.0, 582104.0, 1159964.0, 4806891.0, 2568025.0, 56674249.0]",7,69866665.0
0eff96a4-d296-4fc2-9fde-1f9dd9dbbe2d,"['Office Expansion', 'Research and Development', 'Marketing', 'Working Capital']","[6368365.0, 628038.0, 2364913.0, 56166025.0]",4,65527341.0
0f51edd0-ef66-4ac0-b17a-e7637b2e82e6,"['Equipment Purchase', 'Working Capital', 'Technology Upgrade']","[3819388.0, 612281.0, 12382807.0]",3,16814476.0
0fde6ec9-2aba-4d0a-87c2-fc47a6544a0d,"['Inventory', 'Staff Hiring', 'Research and Development', 'Office Expansion', 'Technology Upgrade']","[8378637.0, 6204502.0, 1029185.0, 6397008.0, 60226068.0]",5,82235400.0
0fff50f6-38dc-4bed-9b80-fc65e7795d2b,"['Staff Hiring', 'Equipment Purchase']","[6064533.0, 71494320.0]",2,77558853.0
100a2f37-9716-4647-a7f2-a553b6dfb64a,"['Marketing', 'Inventory', 'Staff Hiring', 'Working Capital', 'Research and Development']","[2459959.0, 1806186.0, 2637263.0, 1016318.0, 21937310.0]",5,29857036.0
101ace25-8aa5-4b5d-af32-f2067ad3e445,"['Inventory', 'Marketing', 'Research and Development', 'Staff Hiring', 'Office Expansion']","[11782832.0, 3979669.0, 2202818.0, 7956211.0, 57484574.0]",5,83406104.0
1033dc7a-ca66-426b-a906-79a03c2ed112,"['Staff Hiring', 'Office Expansion', 'Technology Upgrade', 'Working Capital', 'Research and Development', 'Inventory', 'Marketing']","[5918455.0, 2117868.0, 1713423.0, 900823.0, 777710.0, 756388.0, 26200066.0]",7,38384733.0
10598759-e052-4978-a972-78f21f82acf1,"['Inventory', 'Working Capital', 'Technology Upgrade']","[560368.0, 500000.0, 6310319.0]",3,7370687.0
106f974f-40b0-4075-be02-f38969c350e5,"['Inventory', 'Equipment Purchase', 'Research and Development', 'Marketing']","[12263604.0, 17083832.0, 517575.0, 62657998.0]",4,92523009.0
10a89583-8683-4e9e-a367-57bdd4e39c52,"['Working Capital', 'Staff Hiring', 'Office Expansion', 'Inventory', 'Equipment Purchase', 'Marketing']","[541117.0, 2508917.0, 758248.0, 1415509.0, 647334.0, 8362146.0]",6,14233271.0
10be4e72-7cda-49f8-931a-a3be6e86973b,"['Working Capital', 'Inventory', 'Technology Upgrade', 'Research and Development', 'Equipment Purchase']","[1782508.0, 7918437.0, 2533952.0, 3378789.0, 70742336.0]",5,86356022.0
11231aa8-0662-4432-81c2-3bbbf2ac0a11,"['Research and Development', 'Office Expansion', 'Staff Hiring', 'Equipment Purchase']","[1417354.0, 3218029.0, 3784264.0, 49358891.0]",4,57778538.0
11ae0c21-073a-486f-9e7a-d02895b6172a,"['Marketing', 'Inventory', 'Equipment Purchase', 'Staff Hiring', 'Working Capital']","[5180611.0, 5792745.0, 3839310.0, 5638822.0, 25758018.0]",5,46209506.0
12016298-0bc9-4d63-aa1f-911241b68ec5,"['Equipment Purchase', 'Inventory']","[3633434.0, 26208659.0]",2,29842093.0
12c4d535-9dea-4094-b1fb-4d8a4e0d9679,"['Technology Upgrade', 'Marketing', 'Working Capital', 'Equipment Purchase']","[3134331.0, 3943976.0, 706310.0, 26473453.0]",4,34258070.0
12da48aa-0163-4eca-a623-3662c540bdba,"['Office Expansion', 'Research and Development', 'Equipment Purchase', 'Technology Upgrade', 'Marketing', 'Inventory', 'Staff Hiring']","[500000.0, 500000.0, 679126.0, 500000.0, 500000.0, 500000.0, 645201.0]",7,3824327.0
1396746e-0a46-4ead-ba05-6a328ae4a29a,"['Technology Upgrade', 'Staff Hiring', 'Office Expansion', 'Research and Development', 'Marketing']","[1246917.0, 1986712.0, 3328334.0, 1006148.0, 71185286.0]",5,78753397.0
13fa3433-e757-4e87-9c98-435c8868af0d,"['Equipment Purchase', 'Office Expansion']","[1695491.0, 52858281.0]",2,54553772.0
15160f11-d0de-4db1-bdd6-95c510129f5d,"['Staff Hiring', 'Inventory', 'Office Expansion', 'Technology Upgrade']","[9032978.0, 3092345.0, 1099735.0, 32440553.0]",4,45665611.0
152ead8a-b21a-4c05-8880-4e9224f7bf9f,"['Inventory', 'Office Expansion']","[9695131.0, 87758886.0]",2,97454017.0
1579ed1c-0246-47d8-80ed-dd411cca8524,"['Marketing', 'Staff Hiring', 'Research and Development']","[4530960.0, 10059260.0, 41686736.0]",3,56276956.0
159885c3-16a2-4d20-94f7-57c533830a8a,"['Research and Development', 'Inventory', 'Staff Hiring', 'Working Capital', 'Marketing', 'Technology Upgrade', 'Office Expansion']","[638729.0, 788662.0, 5826550.0, 1274784.0, 7450638.0, 2941890.0, 51859620.0]",7,70780873.0
1667e6b3-0653-4ff6-a2b0-846d53da7402,"['Research and Development', 'Equipment Purchase', 'Marketing']","[2987989.0, 507322.0, 56285257.0]",3,59780568.0
16c5a313-2d08-4b26-8011-192d1941c585,"['Inventory', 'Office Expansion', 'Staff Hiring', 'Marketing', 'Working Capital', 'Equipment Purchase']","[4493838.0, 6762294.0, 14847029.0, 1109873.0, 1801473.0, 58500217.0]",6,87514724.0
17177716-19e9-4af0-92dd-8d6b3c7ed9ca,"['Technology Upgrade', 'Research and Development', 'Marketing', 'Staff Hiring']","[635419.0, 531912.0, 737915.0, 10127681.0]",4,12032927.0
183141e2-e3d9-4ace-a877-1b677e5d88fa,"['Working Capital', 'Equipment Purchase', 'Technology Upgrade', 'Office Expansion', 'Inventory', 'Staff Hiring']","[3366864.0, 14520588.0, 4701434.0, 2197751.0, 4536894.0, 45914023.0]",6,75237554.0
18794cd2-4412-47ed-b1a0-b5323540c170,"['Staff Hiring', 'Research and Development', 'Working Capital', 'Inventory', 'Office Expansion']","[6059757.0, 1788836.0, 1850360.0, 4513145.0, 31009322.0]",5,45221420.0
1927f4d6-1af1-4535-b70b-a603bba272d7,"['Working Capital', 'Staff Hiring', 'Research and Development', 'Technology Upgrade']","[784141.0, 2629525.0, 561531.0, 14586319.0]",4,18561516.0
194d08dc-4a5e-4421-871f-ab135370950a,"['Research and Development', 'Marketing', 'Inventory', 'Office Expansion']","[502378.0, 778268.0, 762884.0, 8337641.0]",4,10381171.0
19919be4-046f-4a37-8fe2-93883fab30af,"['Office Expansion', 'Equipment Purchase', 'Marketing', 'Research and Development', 'Technology Upgrade', 'Inventory', 'Working Capital']","[1978423.0, 2859150.0, 4644057.0, 1213177.0, 2257607.0, 771761.0, 40905659.0]",7,54629834.0
1a93fc39-7c4d-463a-b784-5057afe37ebc,"['Office Expansion', 'Marketing', 'Equipment Purchase', 'Working Capital', 'Research and Development', 'Technology Upgrade']","[538138.0, 3243080.0, 5879178.0, 655037.0, 619835.0, 20089277.0]",6,31024545.0
1b21f05b-40de-4273-b8c1-4a0ff1aa4b48,"['Equipment Purchase', 'Working Capital', 'Research and Development', 'Inventory', 'Office Expansion', 'Technology Upgrade', 'Marketing']","[652870.0, 500000.0, 500000.0, 579072.0, 507272.0, 500000.0, 4253234.0]",7,7492448.0
1b42bcea-0404-49e4-8240-17e62fb6ae11,"['Working Capital', 'Office Expansion']","[1774371.0, 35049545.0]",2,36823916.0
1b4e5726-d32a-4795-9446-9ba2553cfa64,"['Research and Development', 'Inventory', 'Equipment Purchase']","[1082573.0, 4004282.0, 49094357.0]",3,54181212.0
1b508042-5f95-4970-a73a-d8fc847d8274,"['Inventory', 'Working Capital', 'Office Expansion', 'Technology Upgrade']","[735138.0, 500000.0, 500000.0, 3614537.0]",4,5349675.0
1b6726c5-d1ff-4bf4-8593-210429f516d3,"['Inventory', 'Working Capital', 'Equipment Purchase', 'Staff Hiring', 'Marketing']","[10809503.0, 759531.0, 6377322.0, 5673077.0, 60483839.0]",5,84103272.0
1bf2051b-0f5e-4b48-b9f9-9b2edfd8693c,"['Marketing', 'Research and Development', 'Equipment Purchase']","[1401919.0, 511621.0, 35066773.0]",3,36980313.0
1ceecd2b-ddcf-4166-af4d-cdff90fcd6cb,"['Marketing', 'Staff Hiring', 'Equipment Purchase', 'Working Capital']","[1857676.0, 3400482.0, 2641646.0, 12644410.0]",4,20544214.0
1d888588-55c1-4ec4-9ce5-ca9874da8959,"['Inventory', 'Working Capital']","[9640303.0, 79202185.0]",2,88842488.0
1e565df1-1020-4841-9155-5d65bbfd04c4,"['Research and Development', 'Inventory', 'Staff Hiring', 'Working Capital', 'Office Expansion', 'Equipment Purchase']","[2003886.0, 2718016.0, 12571823.0, 1000282.0, 2313942.0, 52982728.0]",6,73590677.0
1e8fe0bc-f71c-4ac9-84e2-8845c7abd78a,"['Technology Upgrade', 'Marketing', 'Staff Hiring', 'Inventory', 'Research and Development', 'Office Expansion']","[4562432.0, 3501411.0, 3009231.0, 8421967.0, 1813937.0, 50780121.0]",6,72089099.0
1f2125ea-19fe-40c2-85b4-dee6cce8f292,"['Inventory', 'Working Capital', 'Staff Hiring', 'Marketing', 'Office Expansion', 'Technology Upgrade', 'Research and Development']","[3360096.0, 671633.0, 981927.0, 555923.0, 1028328.0, 862547.0, 20395754.0]",7,27856208.0
20596e93-fe76-4b81-b4fb-68963953ff4d,"['Research and Development', 'Inventory', 'Office Expansion', 'Working Capital', 'Equipment Purchase', 'Marketing']","[1641167.0, 1310057.0, 6819171.0, 3846424.0, 11757602.0, 65993750.0]",6,91368171.0
208354e5-528e-4daa-b595-f49eabfd7978,"['Inventory', 'Staff Hiring', 'Marketing', 'Equipment Purchase', 'Office Expansion', 'Research and Development', 'Working Capital']","[1288319.0, 1477681.0, 875082.0, 983128.0, 500000.0, 500000.0, 3070978.0]",7,8695188.0
2097ca90-8de7-48e8-81da-bbb48933b6eb,"['Working Capital', 'Office Expansion', 'Staff Hiring', 'Technology Upgrade', 'Inventory']","[848844.0, 2644885.0, 3618722.0, 1647036.0, 27319493.0]",5,36078980.0
2173d049-a79c-4557-b3d7-47369803c59e,"['Working Capital', 'Staff Hiring', 'Technology Upgrade', 'Research and Development', 'Inventory']","[2024074.0, 6065936.0, 4701167.0, 2222551.0, 67261418.0]",5,82275146.0
21918ff4-c93b-4acf-9599-e73f36bf7d0a,"['Working Capital', 'Marketing', 'Inventory', 'Technology Upgrade', 'Research and Development', 'Office Expansion', 'Equipment Purchase']","[2324879.0, 6657334.0, 3493710.0, 749862.0, 1153553.0, 1237850.0, 34881289.0]",7,50498477.0
21afb145-3fe7-46cf-afa5-64030f78f484,"['Technology Upgrade', 'Marketing', 'Office Expansion']","[686094.0, 900914.0, 15549845.0]",3,17136853.0
227f0c84-7957-472b-9b49-e464b6c7afa9,"['Staff Hiring', 'Technology Upgrade', 'Inventory']","[2571710.0, 592606.0, 10880976.0]",3,14045292.0
22c32775-e8bb-4727-b4ff-f2d194d24007,"['Working Capital', 'Staff Hiring', 'Marketing', 'Office Expansion', 'Technology Upgrade', 'Equipment Purchase', 'Inventory']","[3575654.0, 5470406.0, 4951048.0, 2173750.0, 2176830.0, 7644359.0, 55624741.0]",7,81616788.0
23745c63-2bd8-48e7-b9ac-13ab3fb56c15,"['Research and Development', 'Working Capital', 'Marketing', 'Office Expansion', 'Technology Upgrade', 'Equipment Purchase', 'Staff Hiring']","[4410660.0, 1430249.0, 4257965.0, 3058514.0, 2339303.0, 15738992.0, 62381424.0]",7,93617107.0
23be1fdd-8e81-4e83-9299-7ceb86da54ed,"['Marketing', 'Office Expansion', 'Working Capital', 'Staff Hiring', 'Research and Development', 'Technology Upgrade']","[1965545.0, 1241442.0, 646340.0, 2559181.0, 526237.0, 11604327.0]",6,18543072.0
249fc1f6-1fed-49b4-afef-566f8f0e494e,"['Inventory', 'Marketing', 'Staff Hiring', 'Working Capital', 'Technology Upgrade']","[629643.0, 2102741.0, 2517147.0, 531898.0, 10280063.0]",5,16061492.0
25ce2390-f66a-49c5-9fb3-26c75124b289,"['Research and Development', 'Inventory', 'Staff Hiring', 'Marketing']","[1873555.0, 528969.0, 1359742.0, 39327122.0]",4,43089388.0
26047016-561e-4374-8360-a66a53d1f828,"['Technology Upgrade', 'Office Expansion', 'Inventory', 'Marketing', 'Research and Development', 'Working Capital']","[890064.0, 1822344.0, 2900804.0, 588291.0, 519818.0, 16832065.0]",6,23553386.0
266b5842-37d2-4780-8148-7672608b0567,"['Office Expansion', 'Technology Upgrade']","[1449764.0, 14704100.0]",2,16153864.0
26f6423c-5e97-4de0-8267-54d05a039390,"['Technology Upgrade', 'Staff Hiring']","[500000.0, 4048005.0]",2,4548005.0
27b06261-6c8a-4d27-8ba2-d8fd982bfecb,"['Technology Upgrade', 'Staff Hiring', 'Equipment Purchase']","[1376458.0, 981165.0, 31448636.0]",3,33806259.0
28c02cb9-ab84-470b-bd97-e380d2644d7c,"['Marketing', 'Working Capital', 'Inventory', 'Office Expansion', 'Equipment Purchase']","[1336501.0, 500000.0, 795234.0, 574490.0, 5774158.0]",5,8980383.0
297d30ed-1e91-4636-bf1b-be77281a9cd1,"['Office Expansion', 'Inventory']","[5795988.0, 58779801.0]",2,64575789.0
2ada6522-5570-4695-9dc8-4648ea9b871e,"['Inventory', 'Working Capital', 'Marketing', 'Equipment Purchase', 'Staff Hiring', 'Research and Development', 'Office Expansion']","[1440996.0, 659136.0, 2980270.0, 4412515.0, 836709.0, 605170.0, 12343231.0]",7,23278027.0
2ae2e665-8ea6-4d53-986e-6c228ff39fce,"['Inventory', 'Research and Development', 'Working Capital']","[2726215.0, 1347225.0, 34713853.0]",3,38787293.0
2b93677f-cda3-475e-8154-9a93335f1cd9,"['Research and Development', 'Working Capital', 'Marketing']","[2176880.0, 1830668.0, 55649588.0]",3,59657136.0
2cf3c29d-83e7-4f26-9b3c-22741fb39cd6,"['Technology Upgrade', 'Research and Development', 'Staff Hiring']","[8371189.0, 1035302.0, 80621186.0]",3,90027677.0
2d517dc0-31b0-4a86-a8fc-6448d8d476a8,"['Staff Hiring', 'Inventory', 'Marketing']","[6324390.0, 3877145.0, 33406378.0]",3,43607913.0
2d7a5ccb-a2fb-41dc-9fe6-29d475c1f63f,"['Marketing', 'Equipment Purchase', 'Staff Hiring', 'Research and Development', 'Working Capital', 'Office Expansion', 'Technology Upgrade']","[6040450.0, 10981338.0, 5231334.0, 1177055.0, 876615.0, 2948523.0, 27240808.0]",7,54496123.0
2dbe948e-8c3b-4955-85af-c0e17245baac,"['Technology Upgrade', 'Marketing', 'Working Capital', 'Office Expansion', 'Staff Hiring', 'Inventory', 'Research and Development']","[1960550.0, 3065921.0, 537079.0, 1054989.0, 3374382.0, 2443959.0, 22803609.0]",7,35240489.0
2eb8b925-40b8-41cc-89f3-68a2f70f02fd,"['Equipment Purchase', 'Office Expansion', 'Research and Development']","[1875159.0, 693536.0, 12541734.0]",3,15110429.0
2ed26d5d-710e-4944-811f-26b202c8c253,"['Research and Development', 'Inventory']","[1618345.0, 40306248.0]",2,41924593.0
2f51cb15-02f9-44ec-a021-2ec4c3e26ced,"['Working Capital', 'Equipment Purchase', 'Marketing']","[2848778.0, 1797776.0, 63521095.0]",3,68167649.0
2f715cb5-72ea-429e-8faf-38c0dae3cc25,"['Technology Upgrade', 'Equipment Purchase', 'Office Expansion', 'Marketing']","[3723130.0, 11698096.0, 5625459.0, 51339883.0]",4,72386568.0
2f9a0e2f-a615-488a-a5ce-856bbee7cf0b,"['Marketing', 'Technology Upgrade', 'Inventory', 'Equipment Purchase']","[8713665.0, 2500482.0, 7143197.0, 51316763.0]",4,69674107.0
2fee44d5-8f9f-427f-8403-14ccb8f56033,"['Equipment Purchase', 'Inventory', 'Office Expansion', 'Working Capital', 'Marketing', 'Research and Development']","[6052321.0, 2644708.0, 1532494.0, 636789.0, 3931788.0, 23640944.0]",6,38439044.0
2ff29234-97c2-4660-8f25-85bebdcbbd1c,"['Marketing', 'Technology Upgrade', 'Office Expansion', 'Research and Development', 'Inventory', 'Staff Hiring', 'Working Capital']","[3568920.0, 8665873.0, 6844026.0, 1058366.0, 7127512.0, 7689897.0, 56191949.0]",7,91146543.0
30108baa-7748-47ba-9daa-f5c13f211394,"['Office Expansion', 'Staff Hiring', 'Technology Upgrade', 'Equipment Purchase', 'Working Capital']","[2009987.0, 5987261.0, 3216453.0, 16983747.0, 54682482.0]",5,82879930.0
302fa238-9d47-429f-90d7-f3e714c0d7c4,"['Marketing', 'Working Capital', 'Office Expansion', 'Staff Hiring', 'Technology Upgrade', 'Equipment Purchase', 'Research and Development']","[2580183.0, 780389.0, 1397077.0, 620023.0, 1762427.0, 3469166.0, 13027922.0]",7,23637187.0
3054ea0b-2f19-4903-9ab2-5cf353c45653,"['Office Expansion', 'Inventory', 'Equipment Purchase', 'Working Capital', 'Research and Development']","[785697.0, 1235742.0, 3750084.0, 674757.0, 18094013.0]",5,24540293.0
30817e50-6b6e-4867-a4d6-df654f1c06e3,"['Research and Development', 'Equipment Purchase', 'Working Capital']","[3154711.0, 6414295.0, 88621184.0]",3,98190190.0
31177356-659d-40e1-b0ab-00e88594b9f0,"['Working Capital', 'Technology Upgrade', 'Office Expansion', 'Staff Hiring', 'Marketing']","[643193.0, 1128225.0, 819472.0, 1087940.0, 9976381.0]",5,13655211.0
3146ef94-dc42-4393-b5df-ba163fe22ea3,"['Marketing', 'Research and Development', 'Equipment Purchase', 'Staff Hiring', 'Inventory']","[6170356.0, 1842305.0, 5558505.0, 4565374.0, 27963158.0]",5,46099698.0
3236dfe7-790c-408d-868e-4d36f3923a5e,"['Research and Development', 'Technology Upgrade']","[1358783.0, 71347530.0]",2,72706313.0
3245e9fa-c1ab-4d57-aa7b-1be7a7e01af0,"['Marketing', 'Research and Development']","[917431.0, 5302474.0]",2,6219905.0
3333730e-2fa1-43a5-b95f-c32f7880338f,"['Office Expansion', 'Research and Development', 'Staff Hiring', 'Working Capital', 'Technology Upgrade', 'Inventory']","[4575370.0, 1307221.0, 8752489.0, 2848091.0, 5006089.0, 50770710.0]",6,73259970.0
337acb1b-f291-4936-9777-4b2e9a533908,"['Marketing', 'Working Capital', 'Equipment Purchase']","[6593933.0, 923423.0, 88372770.0]",3,95890126.0
33d67323-08db-46e5-a96c-8fbed3dd6001,"['Technology Upgrade', 'Inventory', 'Working Capital', 'Equipment Purchase', 'Staff Hiring']","[4137562.0, 1154025.0, 1344489.0, 9669516.0, 34248963.0]",5,50554555.0
33f9e0d2-42ee-48af-9285-19dab235d380,"['Technology Upgrade', 'Staff Hiring']","[990714.0, 98883050.0]",2,99873764.0
33fd4dda-c325-463d-ac82-23d4e79e55fb,"['Inventory', 'Marketing', 'Working Capital', 'Staff Hiring', 'Office Expansion', 'Equipment Purchase']","[1129969.0, 2629092.0, 2304859.0, 5457658.0, 3068438.0, 38859077.0]",6,53449093.0
341e6407-76f8-4de5-adbf-531472147ee2,"['Staff Hiring', 'Office Expansion', 'Equipment Purchase', 'Inventory']","[2709677.0, 1286235.0, 604404.0, 30098321.0]",4,34698637.0
3449624b-5827-4ef3-8eb2-b41e0c94ee30,"['Working Capital', 'Inventory', 'Office Expansion', 'Marketing', 'Research and Development', 'Equipment Purchase', 'Technology Upgrade']","[593677.0, 1000802.0, 738921.0, 1457019.0, 500000.0, 1326669.0, 8083436.0]",7,13700524.0
344e33ea-e1b6-49b9-9892-e4aad89306d0,"['Technology Upgrade', 'Office Expansion', 'Working Capital', 'Inventory', 'Staff Hiring']","[3581446.0, 3038872.0, 1066421.0, 7386426.0, 49180614.0]",5,64253779.0
34d2f068-6680-45a1-acc5-ecd510f5bfc9,"['Marketing', 'Office Expansion']","[5704856.0, 38191349.0]",2,43896205.0
35095809-9aeb-49fa-a14b-8cf1e83f1eb9,"['Research and Development', 'Staff Hiring']","[2166702.0, 65962142.0]",2,68128844.0
350e2ea6-c26f-4382-91ea-87a16d7f1a0f,"['Technology Upgrade', 'Working Capital', 'Staff Hiring', 'Office Expansion']","[1580615.0, 1190499.0, 3092421.0, 63764927.0]",4,69628462.0
