inquiry_id,ind_det_debts_interestRate,ind_det_debts_currentBalancet,ind_det_debts_monthlyPayment,ind_det_debts_originalAmount
1e8fe0bc-f71c-4ac9-84e2-8845c7abd78a,"[4.012388882647723, 5.134535989989919, 16.095589813809177, 5.321114408073138]","[3308189, 3656033, 101533, 2594067]","[15316, 10881, 1692, 19652]","[5000000, 5000000, 200000, 5000000]"
7def4293-20de-4387-8446-516456e1b903,"[6.1769746094034055, 11.55910384462318, 14.583282056381774, 6.437962684796108]","[5773835, 789462, 199558, 182114]","[21871, 9398, 2772, 2168]","[11859450, 1000000, 200000, 200000]"
44ca477f-cf6b-4aa2-93f6-e49af47a8085,"[19.699804390668696, 4.001956401364112]","[2369644, 1206808]","[32912, 33522]","[3640390, 1375313]"
12016298-0bc9-4d63-aa1f-911241b68ec5,[4.726202012047434],[1516038],[8422],[2432481]
9e705663-433f-4867-b99c-485106c8b539,[16.347713489441205],[1572550],[43682],[1906511]
98b103aa-a1e9-4511-9fd2-ebfa996b61b2,"[5.443825928369284, 10.525625598786526, 5.024106851586916, 7.215567351085912, 6.751694852334772]","[14405954, 3911984, 6803010, 230242, 349181]","[42875, 81500, 37795, 6396, 2078]","[14590493, 4274700, 9348801, 466470, 5000000]"
90132c61-fc23-42ff-aeb1-0975630a777c,[11.509938066011824],[8712254],[181505],[9276215]
d43970bc-10a2-4a43-92d1-9cd3cfef9738,"[5.3741900086715795, 3.4102301426587, 7.134600053785849, 6.4706598521841645, 11.505765928664573]","[518183, 3977163, 1124760, 1014941, 4063148]","[6169, 20714, 8521, 4699, 67719]","[1270958, 5975999, 3909998, 2379048, 5384612]"
4a0b45d8-c150-4f9d-bda8-58a4617b08ee,"[9.667753021893596, 5.569437048077043, 18.500471853282185, 13.961395416013485]","[5263259, 4060581, 3341057, 1138838]","[87721, 67676, 69605, 47452]","[9955337, 9594100, 3838061, 1972728]"
e83921a5-2613-4177-9f47-c16451fec808,"[4.844562434486255, 7.406322987282719, 11.887725348015204, 7.957990632023442, 6.859676540208282]","[2013942, 216673, 818147, 2997230, 3954777]","[23976, 18056, 17045, 83256, 32956]","[2064856, 736224, 1534940, 3330669, 8445560]"
4a9ae545-a31c-4cc8-a08a-19d529700d27,"[3.674734511453275, 3.6149359286617386, 4.823664532223078, 6.023488160104189, 6.622565049664772]","[4443085, 101771, 496850, 216572, 270864]","[30855, 446, 3764, 622, 3762]","[9829402, 5000000, 500000, 5000000, 1000000]"
f7da6940-0dfb-4c29-8b0c-9cc56e1265e3,"[4.370424092928081, 11.91183318701267, 4.762150491995078, 14.914109485877967, 8.495386788092084]","[12403980, 495364, 3896944, 1497041, 129820]","[114852, 8256, 17092, 31188, 3606]","[15746581, 1987625, 6131597, 2973585, 521252]"
02155bb7-f18f-4dd8-abd1-a1f448f0cd2d,"[7.053853445301195, 8.732237346375962]","[6038074, 8081845]","[45743, 96212]","[15869270, 8113176]"
d698d32e-ca0e-4e6a-83a3-532cdbb7dc55,"[4.755673616790099, 16.985274768725937, 5.942073032040333, 8.277253999356823, 4.085504537414089]","[5871302, 883791, 3687656, 2521384, 7678216]","[163092, 73649, 51217, 70038, 42657]","[6602658, 2113276, 7843987, 8110633, 12849451]"
b8b21d1b-0a1a-43ad-b60f-2450581000ba,[4.9625585419395515],[2323315],[16134],[5366930]
04acf4cc-d09c-47cf-94ab-66c89c1a5979,"[5.163335624995504, 6.67504364079537, 10.178101881785413, 6.339089315436603, 9.256473543436432]","[60651372, 194267, 382749, 697873, 128758]","[168476, 736, 5316, 3635, 1533]","[71620041, 6127897, 2236070, 1553594, 382270]"
fae13bc5-e3af-4f9d-92b6-7259d117c8e6,"[5.193644783146233, 4.311467012744545, 4.027702651132971]","[321136, 4778426, 7624912]","[5352, 56886, 31770]","[1067529, 7922264, 15229855]"
0c37d937-9d9b-4931-925b-2faa7bb96bf9,[6.2125862760496755],[3021642],[12590],[8194419]
c80b7de3-9cd6-4a92-a8d8-731998e8c803,[9.618212030639627],[2555459],[106477],[3656891]
e969985f-bcbe-4ae8-b2fd-84a15bdb9751,"[5.145511187478943, 3.548066002128324, 5.847834598210278]","[1471277, 216954, 365045]","[12261, 670, 5070]","[3086479, 5000000, 500000]"
33fd4dda-c325-463d-ac82-23d4e79e55fb,"[7.403469748724854, 11.872428925989803, 5.078220223262087]","[2725603, 269101, 8745628]","[113567, 3738, 45550]","[3468024, 1329609, 11264269]"
b5ee96e0-0401-4815-b449-6dd9dced2d81,"[6.686492365188702, 12.900974297593208, 8.646606423958518, 4.80206657262118]","[617174, 683713, 783043, 310536]","[2857, 11395, 16313, 1991]","[1879489, 778454, 4279789, 500000]"
7b0f1e54-905e-4330-83ec-5e8f5a48592a,"[4.434960976102709, 4.026845329661967, 5.434100747198934, 5.052706395593865]","[1480910, 9589537, 6388197, 145818]","[30852, 36324, 59150, 2025]","[4248514, 13445391, 10726150, 1378180]"
fd3aa6d3-feaf-46d4-9e02-733c8aaa119c,"[6.5751169092552555, 12.028797355923967, 5.530030183230879]","[734267, 175834, 603578]","[3599, 2093, 12575]","[879165, 200000, 1000000]"
39ea5b1b-9963-407e-8e16-9f0b35b1de79,"[11.7427578410608, 17.708643207871802, 6.870742167201817, 5.410647140708778, 6.453658208813877]","[3158415, 1948005, 7835783, 1683323, 6683170]","[43867, 27056, 29681, 28055, 39781]","[7152519, 4778524, 9157572, 2543104, 11298117]"
ec06f4d9-e254-4a05-8b36-626309bda3fe,"[6.972237146686023, 9.132620358972215, 4.444494134591384, 7.260408446283523]","[6212421, 953405, 2352816, 3946989]","[86284, 13242, 15082, 36546]","[9057153, 1756786, 4238159, 4216044]"
26047016-561e-4374-8360-a66a53d1f828,"[7.624430138428037, 6.849127086093717, 5.526323693660615]","[4098778, 13787460, 544146]","[17977, 114896, 9069]","[12753577, 15502013, 1000000]"
072c3d7c-9d9b-42db-95d3-bdf91a973d4f,"[3.1779670520752266, 5.902136880603111, 3.806362651625162, 4.079657402394308, 5.009060114252587]","[21795555, 3698439, 960324, 164387, 233303]","[165118, 44029, 2964, 1522, 1767]","[31333731, 4866591, 5000000, 500000, 500000]"
e7afdd0a-484c-4d08-9f8f-9588fb4d2407,"[4.6142745807564625, 7.897959529959834, 5.677390989544294, 14.64654224711625, 4.0736335660776195]","[3971058, 16532022, 2706397, 1046306, 6234972]","[55154, 275534, 9397, 21798, 25979]","[4484714, 17259879, 27925862, 3833860, 22500389]"
eb09977e-86ff-4dc9-b247-ab54b9d01a27,[4.7015287590328185],[27994725],[233289],[38858954]
df0d3d2f-dd60-482f-b305-e0b632b7a334,"[5.090531673387769, 5.376688333268091, 7.0789272555507115]","[2746804, 4278274, 404510]","[8478, 16206, 2107]","[10648081, 7212883, 826152]"
0cbfa9b3-c5f8-4055-b195-07b11afdf8ee,"[4.697788346343405, 3.64739565581487, 6.510323784512458]","[11011870, 493404, 1807481]","[101962, 2164, 10042]","[19442785, 15401227, 3007031]"
5c76779e-04a3-4dde-a549-43cddd78d3d6,"[4.88042350198652, 7.052855766643929, 4.208235520406525]","[147140, 106973, 487443]","[1752, 557, 4062]","[6464651, 2034973, 500000]"
e8644895-1870-477c-b12e-32245bd8b7d6,"[6.147512278900564, 4.31836310068307, 4.118744157518688]","[9523987, 204089, 1412731]","[66139, 4252, 16818]","[22911489, 1524284, 2712194]"
ded8c7ae-42ab-49d8-8e47-435cce3aa0c1,"[4.46432990258708, 8.93995177367122, 3.8740635521485816, 7.418689963300679]","[4689366, 4330113, 16190913, 2450004]","[21710, 72169, 112437, 22685]","[9002135, 6172584, 21552301, 2452403]"
5e39f10a-04c9-455c-b584-1fd5b987bcfb,"[11.133775138195244, 18.98138728471025]","[2039594, 237613]","[33993, 6600]","[3065024, 1054297]"
3d4e56e0-a09a-4d7e-ab03-fc128086e5e7,"[11.639800548344326, 12.000854670106905, 5.861674284344023, 4.416204676439912, 10.638367110339027]","[350763, 436138, 6893031, 1234947, 432540]","[14615, 36345, 20515, 20582, 12015]","[357963, 2306397, 7851301, 5285857, 615522]"
e5bf26b0-81f5-4f08-8174-dce4a1d388ae,"[7.118612756807083, 7.4553954521246375, 5.2731541999736455, 5.1835114579875015]","[2394124, 454262, 19553231, 3407851]","[12469, 3441, 116388, 21845]","[4210974, 3435234, 45467835, 18566090]"
194d08dc-4a5e-4421-871f-ab135370950a,"[14.870293303671303, 9.767276809508981, 7.787647579171576]","[3122865, 951955, 169590]","[86746, 79330, 744]","[3994630, 2609894, 9494689]"
266b5842-37d2-4780-8148-7672608b0567,"[6.523577347599611, 4.008949565497186, 10.694569596309044, 5.405112642630199]","[1575136, 2177915, 964805, 314783]","[21877, 8250, 11486, 2915]","[2301153, 8861679, 1282011, 500000]"
72269462-50e6-4508-9c77-73ef934b30c4,"[5.0915534372346505, 7.7303621243330225, 7.025671488158696, 8.052672862158182, 6.7818411184371366]","[3940411, 8207163, 4123532, 1203542, 486371]","[46910, 52610, 28636, 16716, 20265]","[6707282, 8662053, 5719523, 1335523, 491491]"
6a532fdb-bdd6-47bb-a880-df2a568b9c5f,[5.43985129770757],[613914],[2842],[898971]
3d304dda-275b-4f0e-b7b7-8ac79257072e,[7.730225303542442],[13333015],[138886],[14974417]
3449624b-5827-4ef3-8eb2-b41e0c94ee30,[5.067278979722928],[181865],[2526],[753331]
a155e594-b8ee-4a6c-87aa-d14c4bb07bc9,"[9.249745313547475, 4.135209896575951, 17.966199732120735]","[262558, 2268812, 178248]","[4376, 18907, 14854]","[265047, 5315003, 3491747]"
55f445de-23b7-4119-aefd-f1b96121a0b6,"[11.073663205997503, 7.011708352461552]","[695382, 3250870]","[9658, 54181]","[3706482, 13674098]"
abbdbcef-14d3-4a0a-a54d-ce312e8e41b6,[4.556617395685999],[4452292],[41225],[6798896]
7603ca0c-fa1d-4dc0-a635-586ce505dfb0,[14.598200687825686],[943442],[13103],[2020752]
0cbfd584-d58a-4aa3-8402-79676e9c1ebc,"[11.832202809864292, 16.944107312535984, 7.41572899734367]","[872887, 106348, 400343]","[14548, 2216, 3033]","[4163124, 3085010, 1092242]"
0c419101-35c1-4069-af87-42fb569653f6,"[5.517874644516643, 5.593891257513376, 5.143864585842223, 14.51834842623027, 11.306973567917254]","[23547549, 1430932, 546687, 133878, 792354]","[178391, 7950, 15186, 1594, 9433]","[27484567, 21010517, 1000000, 200000, 1000000]"
a0d80c88-d19c-4b9a-956d-86fbcf44468e,"[9.904337941140856, 6.134237652830917, 6.968198149157702, 5.658377193160671, 4.689409774318501]","[714778, 1019913, 954950, 1887103, 4863109]","[9927, 42496, 79579, 26210, 18421]","[1786446, 1123680, 2460507, 2186847, 5000000]"
cf0dffa2-6c77-45fe-be78-98215f52a088,"[14.390784851894018, 5.625441737277234, 5.132725394960046, 7.0848437769956245, 10.812416061780127]","[230408, 5553524, 5704661, 7938168, 5755867]","[6400, 24358, 31693, 132303, 119914]","[2869765, 13860724, 5899572, 8698833, 8814303]"
84ca71b5-1579-41ff-a4a9-2ff65905881a,"[18.454229969026514, 4.460304572260865, 7.142256203363294]","[562257, 13590725, 448942]","[11714, 87120, 18706]","[894743, 17756968, 4344741]"
df12f141-245c-4c5a-89af-f585643b604b,"[5.935358109776699, 6.161848308806403]","[3744076, 1753621]","[24000, 36534]","[5721956, 3239842]"
a811e367-0367-4861-8878-beb590ea2e03,"[5.096563941213573, 6.725802242878116, 4.833217192936238]","[19030931, 1266226, 2854908]","[113279, 9593, 10814]","[28849872, 5045061, 5000000]"
d053d67c-6d6a-4cee-9bb6-f3bf4c0f7022,"[3.1139808056424907, 8.282585957971499, 5.662226211933701, 9.991226946783218]","[7611055, 920092, 1619958, 742669]","[27576, 10953, 13500, 12378]","[8245712, 4783153, 5000000, 1000000]"
11231aa8-0662-4432-81c2-3bbbf2ac0a11,"[13.910742004691564, 10.80001130721124, 6.048721522843843]","[2174453, 1539865, 3258554]","[45301, 42774, 16972]","[2537793, 1819525, 9684051]"
b2b197f2-729b-4c99-aa48-417d8f8879dc,"[6.829917299564793, 6.196504931400149, 6.822551814897957, 12.43027394918703, 15.852298517000602]","[3417943, 17925403, 1515942, 315865, 676485]","[56966, 78620, 31582, 4387, 9396]","[4678863, 39962439, 2335869, 4682139, 1125154]"
a0e478f5-8bbb-4fdd-8d62-b669cf68daf5,"[6.813091079858037, 19.707896309505077, 3.558279276920553, 4.750486943822744, 10.561573974570171]","[1216389, 287108, 4512938, 608325, 201907]","[20273, 5981, 12536, 10139, 5609]","[4085096, 3487726, 5000000, 1000000, 1000000]"
1b6726c5-d1ff-4bf4-8593-210429f516d3,"[12.393126201257079, 4.097052876701258, 5.346407152093955, 19.68988028277819, 11.854000562525357]","[972787, 3456065, 15228983, 438220, 249282]","[81066, 15158, 48811, 7304, 3462]","[3502519, 8692826, 19723303, 1243578, 818878]"
2173d049-a79c-4557-b3d7-47369803c59e,"[5.966784079966745, 10.277965730726944]","[8397042, 6344123]","[63614, 176226]","[9226609, 8166090]"
10be4e72-7cda-49f8-931a-a3be6e86973b,"[6.8341490638786695, 14.543921833785502]","[4820173, 634768]","[100420, 10579]","[9649175, 1582557]"
b1eba5dc-a09f-41ba-aba6-093447e9fb53,"[10.611783755438495, 9.816849208179402, 5.813042971171834]","[195954, 3019023, 5835493]","[2333, 35941, 25594]","[1972208, 3762742, 15092298]"
db64c1ee-7c3b-4712-aa89-26770c51a883,"[5.702192001830883, 4.753556727965376]","[5547133, 3391041]","[92452, 56517]","[6815188, 7004550]"
8921f9a8-88e2-4c5e-b7ac-893141ce2162,[6.664136318477503],[9381104],[43431],[11099834]
b72960e3-13cc-412e-9572-c555f6c6a1f7,"[3.6640101768116944, 10.055285317240571, 6.734167364890322, 4.538880384845969]","[970514, 161840, 2400387, 3024201]","[4493, 6743, 12502, 10081]","[5000000, 200000, 5000000, 5000000]"
b20b4d6e-84a5-4b51-8439-1173712d781e,"[5.653908507670865, 15.420794119594312, 17.220630262905807, 10.533753484890527, 3.5389281985215932]","[6038508, 1881976, 965571, 354536, 4731849]","[27956, 31366, 11495, 7386, 17924]","[21677350, 4483046, 2524107, 5658771, 5000000]"
f82c6769-b48b-49d7-b56f-881c8040952d,"[12.74340737398732, 9.473662287639119]","[1312998, 839669]","[54708, 34986]","[3717377, 844814]"
1f2125ea-19fe-40c2-85b4-dee6cce8f292,"[16.691761706944973, 4.71279527365664, 12.858493882095226, 5.214429290047569, 6.780686878122202]","[1989938, 22783151, 2031663, 5916879, 1696192]","[33166, 135614, 28218, 18262, 7853]","[3342073, 45430279, 2643409, 9090156, 10240454]"
e8b843b8-a4cf-432a-89ab-a2c2b34e8dd9,[5.859459844439758],[491946],[8199],[800587]
ce761d9a-d2ee-431c-87b1-0aa2b7ceac23,"[11.190525131974134, 5.74514854501353, 7.299148142057501]","[750974, 22079342, 3065855]","[10430, 114997, 19653]","[2866328, 35793407, 8854517]"
debbd224-fdd6-41b9-8529-bd26e16dcfa7,"[6.204753204093379, 6.834658831129863, 3.409313474011351, 7.6344819535834, 13.110547843924714]","[22166516, 322059, 3246738, 114809, 142968]","[153934, 6710, 19326, 957, 1986]","[34877608, 2666997, 5000000, 500000, 200000]"
badeed76-821b-4447-bc99-cee481892b8e,"[5.585150621486827, 8.5814421484318, 7.116515518355501, 5.013692026128541, 5.537186793363013]","[5830363, 4156525, 230388, 116842, 268859]","[60733, 69275, 1067, 811, 1400]","[19502131, 4283748, 500000, 500000, 500000]"
b66347fd-5e8e-48b5-be61-dd5bd1e48613,"[5.323030958538292, 5.793263048973143, 5.7980728745432515]","[294516, 6915743, 10953679]","[2231, 44332, 31476]","[1105509, 21785916, 20677678]"
e0d13b47-eab8-4236-b8cc-85cde5c3370a,"[4.742350355008147, 16.65387425299737, 19.698713267900658, 8.22717279017819]","[1226431, 1387623, 122707, 754025]","[14600, 115635, 3409, 15709]","[3429323, 3580784, 243944, 1000000]"
3fc69557-6074-4371-979b-8fe9fbdfd4d5,"[11.032814683749102, 6.866491353958848, 10.849074318160714, 9.497537542481894]","[465562, 828736, 202136, 172403]","[12932, 4604, 3369, 3592]","[1076439, 2377633, 1184964, 1644823]"
0eb379be-619b-4d65-9906-45d1b58e1a94,"[4.460991756122417, 9.389088984639088, 4.077720451153674, 3.022110553048165]","[1346647, 611109, 9759998, 14952026]","[16032, 7275, 30123, 47923]","[1448675, 2272218, 17571646, 15065685]"
a9dddf99-fa5c-4cc8-a9c5-de400fed6b1d,"[11.131572260340358, 13.436002234919858, 6.306019206597908, 9.193639295589072]","[419370, 1880909, 2585497, 878355]","[5825, 156742, 15390, 24399]","[2415206, 4850562, 3037339, 1575719]"
e1833c14-7009-4481-be0a-6c24f2c93563,[6.323441638090707],[10858056],[129263],[13263381]
9e6b752a-329a-4624-bd1f-934114c625c9,[4.771001617093823],[22313093],[143033],[37578007]
604821b9-95bb-4954-8115-e09f003fb51d,"[4.920723885427266, 11.707189774373877, 9.303233711418, 9.579652279759493]","[9102592, 101210, 559059, 606805]","[58350, 1205, 15529, 12642]","[16311571, 200000, 1000000, 1000000]"
9ee42fe9-30ed-4100-bd55-a9875db7bd12,[7.1031691800639765],[2218153],[9729],[2587847]
0fde6ec9-2aba-4d0a-87c2-fc47a6544a0d,"[11.97905875641257, 14.710515534679812]","[2894636, 1088165]","[60305, 30227]","[4154455, 3193826]"
a5869b69-52a7-49e1-8a2d-010909a3c058,"[9.411996375251817, 3.7782292793446812, 6.008439213934915, 6.214381045975179]","[1222037, 6822420, 339114, 262922]","[14548, 25843, 1766, 1685]","[8968097, 8105975, 766174, 500000]"
0165411a-6390-4445-9db5-6481e7e61a19,"[5.266427422208635, 5.818023469335513]","[21286488, 2440172]","[126705, 10703]","[32183394, 5000000]"
ee98f753-c4ba-481d-8d1c-1c6d709026a9,"[19.83471655458856, 4.275437484249705, 19.43505575172307, 12.627587098001818]","[1719330, 2131476, 826687, 2160414]","[47759, 44406, 34445, 45009]","[2552426, 3115467, 1212673, 3330345]"
8b616f5a-92b6-4410-9142-8149cdd6005d,"[7.219897624942234, 6.2548437228377, 5.12559557204325]","[3998074, 1639529, 4192626]","[83293, 8539, 15191]","[4646392, 1666265, 5199317]"
966419fb-6cc9-4e7b-93b2-a4230c873100,"[3.2274023889963073, 6.221723270388915, 4.542763494452844]","[10612017, 4359673, 52449551]","[52020, 36331, 198673]","[26724997, 4567055, 56116892]"
8e3106b5-573e-4a91-9127-519be22d1826,[5.688796593728469],[1036008],[3754],[14022485]
dd82e484-c852-4315-bc1c-ce4d16a6db15,"[3.013642144579189, 9.249875493912182, 10.760710412882847, 16.61174226802129]","[824005, 4802693, 759154, 148714]","[6242, 80045, 9038, 1770]","[6275531, 5178035, 1000000, 200000]"
d80f9f51-e008-4005-b454-936e8ca76ea3,[7.947775571819818],[1346569],[56107],[2398785]
d044a5f3-a0c4-4ef9-8187-d77b1e36d035,"[12.75144374496266, 6.98424086669087, 12.318163270672148]","[1283506, 4025705, 130098]","[17826, 13978, 1549]","[3602224, 5000000, 200000]"
0985ab0c-9766-40dd-8aff-4467bf9425aa,"[5.759031642905445, 3.4839891457363086]","[280638, 2441971]","[1231, 15654]","[1127328, 5000000]"
0adffd08-eefa-4ac9-8750-1e7f6583339a,"[5.607628969641999, 17.25511089059502, 7.501948130081322, 9.74785077054091, 6.411772499979934]","[128168, 288882, 283829, 771892, 3555456]","[628, 12037, 1391, 21441, 10974]","[819357, 374595, 500000, 1000000, 5000000]"
047d7464-01c1-4bbe-bac3-1c2cd8bb78ba,[6.00089288457894],[6116411],[42475],[15843932]
ae069600-d62a-47c3-bb38-eb6a4390ef5a,"[3.680396803188513, 8.688479455412487, 9.85119077841159]","[27559582, 735479, 945459]","[229663, 20430, 15758]","[29782012, 1293171, 6829783]"
f1986ff8-ed83-4ec7-81aa-75ced47489a9,[4.421642582831222],[32499945],[169271],[33954475]
834341d5-7f18-40f3-8556-6c8506b95cb6,"[8.485769171093178, 7.227919474134949, 8.536219452725186]","[582345, 1074886, 1165085]","[16176, 12796, 32363]","[3833635, 2299867, 1759611]"
5ef81bff-3aa6-44ea-be8b-62a14b6a378d,[4.273220236044475],[453874],[2364],[5000000]
39d3c73d-1948-4ae2-8e16-38ff3afca50c,[4.5284443828762],[50283972],[161167],[50314908]
4df5d8f6-4548-481d-bd93-205e8f401cfe,"[9.386104554827526, 5.538519255068597, 5.896176455346731]","[1577094, 498170, 879552]","[43808, 6919, 12216]","[2002808, 2857400, 3576722]"
ab1e0028-7d9a-4544-af07-f0f13f2845b1,"[6.491931999209803, 7.699607660034706, 9.960697915905635, 6.375006367047325, 4.969998245505163]","[120236, 1131560, 493392, 5158377, 4590320]","[2505, 18859, 8223, 33067, 23908]","[1704035, 4226364, 692562, 8111530, 5000000]"
43ab2919-72e9-4df8-a7e9-eafae3e3b10f,"[4.4580049763499145, 5.296328430547163]","[1405510, 9231193]","[29281, 64106]","[5191352, 24275272]"
d7ed31ff-181f-4437-9671-2ae64ed480b9,[5.878243395315045],[2789213],[46487],[5666672]
375c3cb3-a101-4bab-8ae9-80048f971d85,"[4.819615506119294, 8.974071469292392, 6.289610388983943, 6.041513482174025, 4.979493471087341]","[4346295, 8769789, 1515882, 322567, 333476]","[120730, 146163, 8422, 4480, 1853]","[8627023, 9295559, 2168630, 500000, 500000]"
a888fca0-7881-43c7-b203-2cf719738587,[4.9461534653240715],[314956],[905],[13659645]
f76f434c-7b9e-4c58-9842-42be07aee340,"[6.905086734685504, 11.127634125024432, 4.268613944163997, 17.32684660161544]","[202981, 107599, 2896235, 113929]","[1057, 1494, 8323, 2374]","[4503977, 470992, 7431347, 296894]"
ec83413d-5c88-4e3f-bf04-b48cd65c2023,[5.991761090841129],[1129356],[13445],[3664965]
926880bf-6e89-4071-adec-5e64187ed9e6,"[9.133901626145288, 5.244157413746091, 19.557449462659044, 6.931121146300001, 5.444729391096565]","[3401800, 449851, 1277010, 6231734, 3001955]","[40498, 4686, 21284, 27332, 27796]","[3714076, 950967, 4754987, 36726362, 4994400]"
34d2f068-6680-45a1-acc5-ecd510f5bfc9,"[4.218296456401239, 6.002947126939912, 5.622608999722149, 5.241549896183011, 4.317057404725062]","[2171239, 4040517, 610975, 962335, 555523]","[12924, 12025, 6364, 4455, 11573]","[2220408, 5055904, 1033214, 5000000, 1000000]"
049ee5b2-0325-40c5-b99b-c49be25953f8,"[6.4866781948568075, 3.0099598926796878, 5.483276621739476, 5.451907877089928]","[5745794, 629676, 4561534, 323676]","[39901, 2915, 15205, 2075]","[42916364, 8788838, 5000000, 500000]"
68a74736-b756-4ecb-820a-07381cdb8128,"[6.50929578885745, 11.791097594742507, 8.055477234189247]","[315158, 175788, 129749]","[5253, 3662, 1545]","[1000000, 200000, 200000]"
0da89158-bc89-4bff-89ff-d96bee84e280,"[11.714239724502633, 5.741571878948975, 6.138506650481692]","[2976614, 28818401, 333253]","[35436, 92367, 3086]","[3660475, 29431866, 500000]"
2d517dc0-31b0-4a86-a8fc-6448d8d476a8,"[7.181682528361529, 7.560464572719217, 6.937175938991331, 6.268738063711574]","[5897801, 5391516, 426740, 1666194]","[70212, 149764, 7112, 10681]","[6975364, 7235146, 4396871, 17455774]"
d3332649-b660-47ff-a424-268eed4db856,[4.16433521131548],[184753],[1711],[1336182]
b26ec1ca-940c-4fa9-9c75-5c77294bd079,"[5.454855163137607, 7.013385489662017]","[19285611, 3323629]","[69875, 23081]","[39073338, 12113632]"
ec8fcbec-e5ad-4e40-8d61-20fa89ef3f98,"[3.1175114528147727, 7.174144558028162, 4.8927323276148895, 15.844911221667076]","[4569316, 1873107, 2718467, 256240]","[20041, 52031, 56635, 5338]","[6579720, 2358969, 9346118, 949674]"
9a842d92-e55b-4f48-a104-ced56321d711,"[15.33815619786165, 5.177984968886943, 5.779977352306175, 10.981392297531865]","[307668, 5589491, 3518278, 233195]","[5128, 15526, 14659, 9716]","[449012, 9091440, 9724278, 868969]"
f2cfefbd-80d8-415f-8af8-e256e5e98ade,"[7.220995440547174, 7.480614571640868]","[796184, 3471076]","[3686, 32140]","[15868800, 5938817]"
9b9325c4-a850-4415-9806-4f461e3466f4,"[7.013650563543859, 17.519769864885944]","[1162940, 1048325]","[24228, 14560]","[1804912, 1181735]"
597502dd-42e6-4c2b-9c9a-b92c2a8d3cf1,"[8.913668564334, 6.201832131088261]","[479121, 1272579]","[7985, 35349]","[8889081, 9197796]"
1ceecd2b-ddcf-4166-af4d-cdff90fcd6cb,"[4.800246900168472, 5.5072754477652754]","[580181, 1609180]","[12087, 44699]","[4012350, 1964777]"
2cf3c29d-83e7-4f26-9b3c-22741fb39cd6,"[5.435185572776942, 3.101877735473905]","[1327587, 5264620]","[36877, 19942]","[2415525, 7731954]"
98efd244-014e-407b-8ba1-f903500ff080,"[8.565102669758044, 5.786299147923295, 5.853673493600129, 6.494741660242505]","[2756784, 1236637, 14384016, 167903]","[229732, 25763, 79911, 2798]","[3495552, 1640162, 18258359, 220472]"
f568093f-1d5b-44e5-ba31-69548b25cd90,"[5.8478242173404045, 9.058493214887882]","[1002161, 4786674]","[4913, 132963]","[2951296, 9722793]"
534ee844-c050-4ed0-b6bf-c4a2aa5238fa,"[4.427453363010347, 4.953832997945749, 19.06637311742571, 7.29669895575252, 3.0594540235045873]","[4381645, 1642688, 159450, 907872, 635471]","[33194, 12445, 2215, 12609, 2118]","[5402046, 5000000, 200000, 1000000, 5000000]"
85c11ea3-73f1-4362-b2be-688bce26d74e,"[10.0762806310349, 6.157031493614522]","[1543884, 741990]","[128657, 30916]","[3343335, 4287670]"
